title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized
Susie Darlin',Robin Luke,5,17,1958,,robin luke,
When,Kalin Twins,5,9,1958,,kalin twins,
A Lover's Question,Clyde McPhatter,6,24,1958,,clyde mcphatter,
Chantilly Lace,Big Bopper,6,25,1958,,big bopper,
I Cried A Tear,LaVern Baker,6,21,1958,,lavern baker,
Rebel-'rouser,Duane Eddy His Twangy Guitar,6,8,1958,Duane Eddy His Twangy Guitar And The Rebels,duane eddy his twangy guitar,
Rebel-'rouser,The Rebels,6,8,1958,Duane Eddy His Twangy Guitar And The Rebels,the rebels,
Whole Lotta Loving,Fats Domino,6,15,1958,,fats domino,
Born Too Late,Poni-Tails,7,14,1958,,poni-tails,
Lonely Teardrops,Jackie Wilson,7,21,1958,,jackie wilson,
Lonesome Town,Ricky Nelson,7,18,1958,,ricky nelson,
Tea For Two Cha Cha,The Tommy Dorsey Orchestra,7,20,1958,,the tommy dorsey orchestra,
The End,Earl Grant,7,19,1958,,earl grant,
Yakety Yak,The Coasters,7,7,1958,,the coasters,
Fever,Peggy Lee,8,12,1958,,peggy lee,
Goodbye Baby,Jack Scott,8,16,1958,,jack scott,
I Got Stung,Elvis Presley,8,16,1958,,elvis presley,
Summertime Blues,Eddie Cochran,8,16,1958,,eddie cochran,
Western Movies,The Olympics,8,12,1958,,the olympics,
Ginger Bread,Frankie Avalon,9,11,1958,,frankie avalon,
Queen Of The Hop,Bobby Darin,9,19,1958,,bobby darin,
Willie And The Hand Jive,The Johnny Otis Show,9,10,1958,,the johnny otis show,
Are You Really Mine,Jimmie Rodgers,10,13,1958,,jimmie rodgers,
Devoted To You,The Everly Brothers,10,14,1958,,the everly brothers,
I Got A Feeling,Ricky Nelson,10,17,1958,,ricky nelson,
Manhattan Spiritual,Reg Owen & His Orchestra,10,16,1958,,reg owen & his orchestra,
Near You,Roger Williams,10,17,1958,,roger williams,
Run Rudolph Run,Chuck Berry,10,31,1958,,chuck berry,
Bimbombey,Jimmie Rodgers,11,16,1958,,jimmie rodgers,
How The Time Flies,Jerry Wallace,11,16,1958,,jerry wallace,
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,11,20,1958,,andy williams,
Forget Me Not,Kalin Twins,12,15,1958,,kalin twins,
If Dreams Came True,Pat Boone,12,10,1958,,pat boone,
White Christmas,Bing Crosby,12,30,1958,,bing crosby,
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,13,7,1958,,patti page,
The Little Drummer Boy,The Harry Simeone Chorale,13,28,1958,,the harry simeone chorale,
Everybody Loves A Lover,Doris Day,14,12,1958,,doris day,
Lucky Ladybug,Billy & Lillie,14,13,1958,,billy & lillie,
The Diary,Neil Sedaka,14,15,1958,,neil sedaka,
(All of a Sudden) My Heart Sings,Paul Anka,15,17,1958,,paul anka,
Cannonball,Duane Eddy His Twangy Guitar,15,12,1958,Duane Eddy His Twangy Guitar And The Rebels,duane eddy his twangy guitar,
Cannonball,The Rebels,15,12,1958,Duane Eddy His Twangy Guitar And The Rebels,the rebels,
For Your Precious Love,Jerry Butler and The Impressions,15,5,1958,,jerry butler,jerry butler and the impressions
For Your Precious Love,Jerry Butler and The Impressions,15,5,1958,,the impressions,jerry butler and the impressions
I'll Wait For You,Frankie Avalon,15,17,1958,,frankie avalon,
Love Is All We Need,Tommy Edwards,15,16,1958,,tommy edwards,
Volare (Nel Blu Dipinto Di Blu),Dean Martin,15,13,1958,,dean martin,
You Cheated,The Shields,15,16,1958,,the shields,
Mexican Hat Rock,The Applejacks,16,15,1958,,the applejacks,
One Summer Night,The Danleers,16,8,1958,,the danleers,
Endless Sleep,Jody Reynolds,17,6,1958,,jody reynolds,
Poor Boy,The Royaltones,17,17,1958,,the royaltones,
"Promise Me, Love",Andy Williams,17,12,1958,,andy williams,
Pussy Cat,The Ames Brothers,17,15,1958,,the ames brothers,
Stupid Cupid,Connie Francis,17,13,1958,,connie francis,
Carol,Chuck Berry,18,10,1958,,chuck berry,
That Old Black Magic,Louis Prima And Keely Smith,18,13,1958,,louis prima and keely smith,
The Secret,Gordon MacRae,18,13,1958,,gordon macrae,
There Goes My Heart,Joni James,19,16,1958,,joni james,
Do You Want To Dance,Bobby Freeman,20,5,1958,,bobby freeman,
Down The Aisle Of Love,The Quin-Tones,20,12,1958,,the quin-tones,
Firefly,Tony Bennett,20,13,1958,,tony bennett,
Call Me,Johnny Mathis,21,15,1958,,johnny mathis,
Guess Things Happen That Way,Johnny Cash And The Tennessee Two,21,7,1958,,johnny cash and the tennessee two,
Hideaway,The Four Esquires,21,17,1958,,the four esquires,
Lazy Summer Night,The Four Preps,21,10,1958,,the four preps,
Nobody But You,Dee Clark,21,17,1958,,dee clark,
The Day The Rains Came,Jane Morgan,21,15,1958,,jane morgan,
The World Outside,The Four Coins,21,11,1958,,the four coins,
A Certain Smile,Johnny Mathis,22,9,1958,,johnny mathis,
La Bamba,Ritchie Valens,22,15,1958,,ritchie valens,
Somebody Touched Me,Buddy Knox,22,14,1958,Buddy Knox with the Rhythm Orchids,buddy knox,
Somebody Touched Me,the Rhythm Orchids,22,14,1958,Buddy Knox with the Rhythm Orchids,the rhythm orchids,
Ten Commandments Of Love,Harvey & The Moonglows,22,16,1958,,harvey,harvey & the moonglows
Ten Commandments Of Love,Harvey & The Moonglows,22,16,1958,,the moonglows,harvey & the moonglows
For My Good Fortune,Pat Boone,23,11,1958,,pat boone,
Early In The Morning,The Rinky-Dinks,24,9,1958,,the rinky-dinks,
No One Knows,Dion & The Belmonts,24,16,1958,,dion,dion & the belmonts
No One Knows,Dion & The Belmonts,24,16,1958,,the belmonts,dion & the belmonts
The Purple People Eater,Sheb Wooley,24,4,1958,,sheb wooley,
The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,24,11,1958,,johnny cash and the tennessee two,
This Little Girl's Gone Rockin',Ruth Brown,24,10,1958,,ruth brown,
A Letter To An Angel,Jimmy Clanton,25,12,1958,,jimmy clanton,
Itchy Twitchy Feeling,Bobby Hendricks,25,14,1958,,bobby hendricks,
Need You,Donnie Owens,25,15,1958,,donnie owens,
What Am I Living For,Chuck Willis,25,7,1958,,chuck willis,
La Paloma,Billy Vaughn And His Orchestra,26,10,1958,,billy vaughn and his orchestra,
Love You Most Of All,Sam Cooke,26,16,1958,,sam cooke,
Philadelphia U.S.A.,The Nu Tornados,26,12,1958,,the nu tornados,
"Summertime, Summertime",The Jamies,26,19,1958,,the jamies,
Treasure Of Your Love,Eileen Rodgers,26,15,1958,,eileen rodgers,
She Was Only Seventeen (He Was One Year More),Marty Robbins,27,13,1958,,marty robbins,
Think It Over,The Crickets,27,7,1958,,the crickets,
Topsy I,Cozy Cole,27,13,1958,,cozy cole,
Peek-A-Boo,The Cadillacs,28,10,1958,,the cadillacs,
Ramrod,Duane Eddy His Twangy Guitar,28,8,1958,Duane Eddy His Twangy Guitar And The Rebels,duane eddy his twangy guitar,
Ramrod,The Rebels,28,8,1958,Duane Eddy His Twangy Guitar And The Rebels,the rebels,
Secretly,Jimmie Rodgers,28,3,1958,,jimmie rodgers,
With Your Love,Jack Scott,28,10,1958,,jack scott,
Enchanted Island,The Four Lads,29,7,1958,,the four lads,
Moon Talk,Perry Como,29,9,1958,,perry como,
The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,29,8,1958,,paul anka-geo. hamilton iv-johnny nash,
Walking Along,The Diamonds,29,12,1958,,the diamonds,
Angel Baby,Dean Martin,30,6,1958,,dean martin,
Fallin',Connie Francis,30,10,1958,,connie francis,
The Day The Rains Came,Raymond Lefevre and His Orchestra,30,9,1958,,raymond lefevre and his orchestra,
"Gee, But It's Lonely",Pat Boone,31,9,1958,,pat boone,
Blue Blue Day,Don Gibson,32,8,1958,,don gibson,
Early In The Morning,Buddy Holly,32,7,1958,,buddy holly,
La-Do-Dada,Dale Hawkins,32,12,1958,,dale hawkins,
Put A Ring On My Finger,Les Paul And Mary Ford,32,10,1958,,les paul and mary ford,
The Hula Hoop Song,Georgia Gibbs,32,5,1958,,georgia gibbs,
The Mocking Bird,The Four Lads,32,10,1958,,the four lads,
Love Makes The World Go 'round,Perry Como,33,10,1958,,perry como,
The Blob,The Five Blobs,33,10,1958,,the five blobs,
The Freeze,Tony And Joe,33,6,1958,,tony and joe,
Win Your Love For Me,Sam Cooke,33,17,1958,,sam cooke,
Dance Everyone Dance,Betty Madigan,34,9,1958,,betty madigan,
Don't Ask Me Why,Elvis Presley,34,5,1958,Elvis Presley With The Jordanaires,elvis presley,
Don't Ask Me Why,The Jordanaires,34,5,1958,Elvis Presley With The Jordanaires,the jordanaires,
I'll Remember Tonight,Pat Boone,34,11,1958,,pat boone,
C'mon Everybody,Eddie Cochran,35,12,1958,,eddie cochran,
Dreamy Eyes,Johnny Tillotson,35,23,1958,,johnny tillotson,
"No Chemise, Please",Gerry Granahan,36,3,1958,,gerry granahan,
Pretty Girls Everywhere,Eugene Church and The Fellows,36,15,1958,,eugene church and the fellows,
Turvy II,Cozy Cole,36,8,1958,,cozy cole,
Betty Lou Got A New Pair Of Shoes,Bobby Freeman,37,9,1958,,bobby freeman,
Blue Hawaii,Billy Vaughn And His Orchestra,37,10,1958,,billy vaughn and his orchestra,
Red River Rose,The Ames Brothers,37,10,1958,,the ames brothers,
A Part Of Me,Jimmy Clanton,38,7,1958,,jimmy clanton,
All Over Again,Johnny Cash,38,11,1958,,johnny cash,
Big Bopper's Wedding,Big Bopper,38,7,1958,,big bopper,
Rocka-Conga,The Applejacks,38,10,1958,,the applejacks,
The Hula Hoop Song,Teresa Brewer,38,5,1958,,teresa brewer,
Fibbin',Patti Page,39,9,1958,,patti page,
Teasin',Quaker City Boys,39,9,1958,,quaker city boys,
That's How Much I Love You,Pat Boone,39,6,1958,,pat boone,
Crazy Eyes For You,Bobby Hamilton,40,3,1958,,bobby hamilton,
Don't Pity Me,Dion & The Belmonts,40,12,1958,,dion,dion & the belmonts
Don't Pity Me,Dion & The Belmonts,40,12,1958,,the belmonts,dion & the belmonts
Love Of My Life,The Everly Brothers,40,6,1958,,the everly brothers,
Baby Face,Little Richard,41,10,1958,,little richard,
Come Closer To Me (Acercate Mas),Nat King Cole,41,9,1958,,nat king cole,
Mr. Success,Frank Sinatra,41,11,1958,,frank sinatra,
Over And Over,Bobby Day,41,11,1958,,bobby day,
"Come On, Let's Go",Ritchie Valens,42,13,1958,,ritchie valens,
I Wish,The Platters,42,10,1958,,the platters,
You Cheated,The Slades,42,12,1958,,the slades,
Come What May,Clyde McPhatter,43,3,1958,,clyde mcphatter,
The Wedding,June Valli,43,13,1958,,june valli,
Tunnel Of Love,Doris Day,43,8,1958,,doris day,
Cimarron (Roll On),Billy Vaughn And His Orchestra,44,10,1958,,billy vaughn and his orchestra,
Green Chri$tma$,Stan Freberg,44,2,1958,,stan freberg,
Jennie Lee,Jan & Arnie,44,2,1958,,jan & arnie,
Leave Me Alone (Let Me Cry),Dicky Doo,44,9,1958,Dicky Doo And The Don'ts,dicky doo,
Leave Me Alone (Let Me Cry),The Don'ts,44,9,1958,Dicky Doo And The Don'ts,the don'ts,
The Green Mosquito,The Tune Rockers,44,10,1958,,the tune rockers,
Blue Boy,Jim Reeves,45,6,1958,,jim reeves,
Kathy-O,The Diamonds,45,7,1958,,the diamonds,
No One But You (In My Heart),The Ames Brothers,45,9,1958,,the ames brothers,
Non Dimenticar (Don't Forget),Nat King Cole,45,11,1958,,nat king cole,
Pledging My Love,Roy Hamilton,45,12,1958,,roy hamilton,
The Wizard,Jimmie Rodgers,45,7,1958,,jimmie rodgers,
(It's Been A Long Time) Pretty Baby,Gino & Gina,46,1,1958,,gino & gina,
Give Myself A Party,Don Gibson,46,10,1958,,don gibson,
Sing Sing Sing,Bernie Lowe Orchestra,46,7,1958,,bernie lowe orchestra,
I Wonder Why,Dion & The Belmonts,47,2,1958,,dion,dion & the belmonts
I Wonder Why,Dion & The Belmonts,47,2,1958,,the belmonts,dion & the belmonts
It's Just About Time,Johnny Cash And The Tennessee Two,47,7,1958,,johnny cash and the tennessee two,
Mandolins In The Moonlight,Perry Como,47,10,1958,,perry como,
Sweet Little Rock And Roller,Chuck Berry,47,9,1958,,chuck berry,
¿Dònde Està Santa Claus? (Where Is Santa Claus?),Augie Rios,47,4,1958,,augie rios,
I Want To Be Happy Cha Cha,Enoch Light & The Light Brigade,48,7,1958,,enoch light & the light brigade,
Return To Me,Dean Martin,48,4,1958,,dean martin,
Try Me,James Brown And The Famous Flames,48,13,1958,,james brown and the famous flames,
All I Have To Do Is Dream,The Everly Brothers,49,4,1958,,the everly brothers,
"Baubles, Bangles And Beads",The Kirby Stone Four,50,3,1958,,the kirby stone four,
Blue Ribbon Baby,Tommy Sands,50,11,1958,Tommy Sands And The Raiders,tommy sands,
Blue Ribbon Baby,The Raiders,50,11,1958,Tommy Sands And The Raiders,the raiders,
By The Light Of The Silvery Moon,Jimmy Bowen,50,8,1958,Jimmy Bowen with the Rhythm Orchids,jimmy bowen,
By The Light Of The Silvery Moon,the Rhythm Orchids,50,8,1958,Jimmy Bowen with the Rhythm Orchids,the rhythm orchids,
Alone With You,Faron Young,51,5,1958,,faron young,
"Wiggle, Wiggle",The Accents,51,12,1958,,the accents,
Break-Up,Jerry Lee Lewis And His Pumping Piano,52,5,1958,,jerry lee lewis and his pumping piano,
What Do I Care,Johnny Cash,52,8,1958,,johnny cash,
Guaglione,Perez Prado,53,9,1958,Perez Prado And His Orchestra,perez prado,
Guaglione,His Orchestra,53,9,1958,Perez Prado And His Orchestra,his orchestra,
Need Your Love,Bobby Freeman,54,5,1958,,bobby freeman,
"The Bluebird, The Buzzard & The Oriole",Bobby Day,54,6,1958,,bobby day,
Let's Go Steady For The Summer,The Three G's,55,3,1958,,the three g's,
Don't You Know Yockomo,"Huey ""piano"" Smith",56,6,1958,"Huey ""piano"" Smith With His Clowns","huey ""piano"" smith",
Don't You Know Yockomo,His Clowns,56,6,1958,"Huey ""piano"" Smith With His Clowns",his clowns,
Hoopa Hoola,Betty Johnson,56,5,1958,,betty johnson,
Leroy,Jack Scott,56,5,1958,,jack scott,
My Life,Chuck Willis,56,5,1958,,chuck willis,
You Need Hands,Eydie Gorme,57,2,1958,,eydie gorme,
Drip Drop,The Drifters,58,2,1958,,the drifters,
Fool's Paradise,The Crickets,58,1,1958,,the crickets,
Look Who's Blue,Don Gibson,58,10,1958,,don gibson,
"Nine More Miles (The ""Faster-Faster"" Song)",Georgie Young,58,9,1958,,georgie young,
Chariot Rock,The Champs,59,7,1958,,the champs,
When I Grow Too Old To Dream,Ed Townsend,59,7,1958,,ed townsend,
Young And Warm And Wonderful,Tony Bennett,59,2,1958,,tony bennett,
Borrowed Dreams,Bobby Helms,60,2,1958,,bobby helms,
Come Prima,Tony Dallara,60,7,1958,,tony dallara,
Go Chase A Moonbeam,Jerry Vale,60,7,1958,,jerry vale,
Hey Girl - Hey Boy,Oscar McLollie,61,5,1958,Oscar McLollie and Jeanette Baker,oscar mclollie,
Hey Girl - Hey Boy,Jeanette Baker,61,5,1958,Oscar McLollie and Jeanette Baker,jeanette baker,
Intermission Riff,Bernie Lowe Orchestra,61,4,1958,,bernie lowe orchestra,
Please Love Me Forever,Tommy Edwards,61,3,1958,,tommy edwards,
Cerveza,Boots Brown And His Blockbusters,62,8,1958,,boots brown and his blockbusters,
For Your Love,Ed Townsend,62,1,1958,,ed townsend,
Jealous Heart,Tab Hunter,62,10,1958,,tab hunter,
Over The Weekend,The Playboys,62,6,1958,,the playboys,
The Ballad Of Thunder Road,Robert Mitchum,62,21,1958,,robert mitchum,
Gotta Have Rain,Eydie Gorme,63,7,1958,,eydie gorme,
High School Confidential,Jerry Lee Lewis And His Pumping Piano,63,2,1958,,jerry lee lewis and his pumping piano,
Light Of Love,Peggy Lee,63,6,1958,,peggy lee,
Padre,Toni Arden,63,4,1958,,toni arden,
The World Outside,The Four Aces,63,4,1958,,the four aces,
Nothin' Shakin',Eddie Fontaine,64,3,1958,,eddie fontaine,
When Will I Know,George Hamilton IV,65,4,1958,,george hamilton iv,
You're Making A Mistake,The Platters,65,3,1958,,the platters,
Delicious!,Jim Backus & Friend,66,2,1958,,jim backus & friend,
Fire Of Love,Jody Reynolds,66,5,1958,,jody reynolds,
You're A Sweetheart,Little Willie John,66,4,1958,,little willie john,
Big Man,The Four Preps,67,1,1958,,the four preps,
Come Prima (Koma Preema),Polly Bergen,67,6,1958,,polly bergen,
Lean Jean,Bill Haley And His Comets,67,1,1958,,bill haley and his comets,
Real Wild Child,Ivan,68,5,1958,,ivan,
Cinderella,The Four Preps,69,7,1958,,the four preps,
Just Young,Andy Rose,69,7,1958,,andy rose,
Midnight,Paul Anka,69,4,1958,,paul anka,
Op,The Honeycones,69,1,1958,,the honeycones,
The Worryin' Kind,Tommy Sands,69,9,1958,Tommy Sands And The Raiders,tommy sands,
The Worryin' Kind,The Raiders,69,9,1958,Tommy Sands And The Raiders,the raiders,
Don't Go Home,The Playmates,70,2,1958,,the playmates,
I Want To Be Happy Cha Cha,The Tommy Dorsey Orchestra Starring Warren Covington,70,3,1958,,the tommy dorsey orchestra starring warren covington,
Try The Impossible,Lee Andrews And The Hearts,70,2,1958,,lee andrews and the hearts,
(I Wanna) Dance With The Teacher,The Olympics,71,5,1958,,the olympics,
City Lights,Ray Price,71,3,1958,,ray price,
Got A Match?,Frank Gallup,71,1,1958,,frank gallup,
Merry Christmas Baby,Chuck Berry,71,3,1958,,chuck berry,
The World Outside,Roger Williams,71,3,1958,,roger williams,
Little Mary,Fats Domino,72,2,1958,,fats domino,
Little Red Riding Hood,Big Bopper,72,4,1958,,big bopper,
"Wendy, Wendy",The Four Coins,72,3,1958,,the four coins,
Your Cheatin' Heart,George Hamilton IV,72,4,1958,,george hamilton iv,
Count Every Star,The Rivieras,73,4,1958,,the rivieras,
Happy Years,The Diamonds,73,4,1958,,the diamonds,
My Lucky Love,Doug Franklin,73,4,1958,Doug Franklin With The Bluenotes,doug franklin,
My Lucky Love,The Bluenotes,73,4,1958,Doug Franklin With The Bluenotes,the bluenotes,
Save My Soul,Jack Scott,73,3,1958,,jack scott,
Straighten Up & Fly Right,DeJohn Sisters,73,2,1958,,dejohn sisters,
White Bucks And Saddle Shoes,"Bobby Pedrick, Jr.",74,4,1958,,"bobby pedrick, jr.",
Just Like In The Movies,The Upbeats,75,3,1958,,the upbeats,
The Fool And The Angel,Bobby Helms,75,6,1958,,bobby helms,
Just Married,Marty Robbins,76,1,1958,,marty robbins,
Where The Blue Of The Night,Tommy Mara,76,4,1958,,tommy mara,
Please Don't Do It,Dale Wright And The Wright Guys,77,5,1958,Dale Wright And The Wright Guys With the Dons,dale wright and the wright guys,
Please Don't Do It,the Dons,77,5,1958,Dale Wright And The Wright Guys With the Dons,the dons,
Almost In Your Arms,Johnny Nash,78,4,1958,,johnny nash,
Diamond Ring,Jerry Wallace,78,4,1958,,jerry wallace,
Harvey's Got A Girl Friend,Royal Teens,78,2,1958,,royal teens,
Little Brass Band,David Seville,78,2,1958,,david seville,
Rockhouse (Part 2),Ray Charles and his Orchestra,79,2,1958,,ray charles,ray charles and his orchestra
Rockhouse (Part 2),Ray Charles and his Orchestra,79,2,1958,,his orchestra,ray charles and his orchestra
The Bird On My Head,David Seville,79,1,1958,,david seville,
What Little Girl,Frankie Avalon,79,2,1958,,frankie avalon,
Here I Stand,Wade Flemons and the Newcomers,80,5,1958,,wade flemons,wade flemons and the newcomers
Here I Stand,Wade Flemons and the Newcomers,80,5,1958,,the newcomers,wade flemons and the newcomers
Johnny B. Goode,Chuck Berry,80,1,1958,,chuck berry,
Just Young,Paul Anka,80,5,1958,,paul anka,
Strange Are The Ways Of Love,Gogi Grant,80,3,1958,,gogi grant,
"Volare (Nel Blu, Dipinto Di Blu)",The McGuire Sisters,80,1,1958,,the mcguire sisters,
Beautiful Delilah,Chuck Berry,81,1,1958,,chuck berry,
Funny,Jesse Belvin,81,4,1958,,jesse belvin,
Gas Money,Jan & Arnie,81,2,1958,,jan & arnie,
Looking Back,Nat King Cole,81,1,1958,,nat king cole,
Prisoner's Song,Warren Storm,81,2,1958,,warren storm,
The Day I Died,The Playmates,81,2,1958,,the playmates,
Up Until Now,Johnnie Ray,81,3,1958,,johnnie ray,
Blip Blop,Bill Doggett,82,2,1958,,bill doggett,
Devotion,Janice Harper,82,3,1958,,janice harper,
Heartbeat,Buddy Holly,82,4,1958,,buddy holly,
Bullwhip Rock,Cyclones,83,2,1958,,cyclones,
Jealousy,Kitty Wells,83,2,1958,,kitty wells,
Joe Joe Gunne,Chuck Berry,83,5,1958,,chuck berry,
Big Brown Eyes,The Redjacks,84,2,1958,,the redjacks,
Week End,The Kingsmen,84,3,1958,,the kingsmen,
Got A Match?,The Daddy-O's,85,1,1958,,the daddy-o's,
I Just Thought You'd Like To Know,Johnny Cash And The Tennessee Two,85,1,1958,,johnny cash and the tennessee two,
I'll Make It All Up To You,Jerry Lee Lewis And His Pumping Piano,85,1,1958,,jerry lee lewis and his pumping piano,
Seven Minutes In Heaven,Poni-Tails,85,3,1958,,poni-tails,
Moonlight Bay,The Drifters,86,1,1958,,the drifters,
To Be Loved,Jackie Wilson,86,1,1958,,jackie wilson,
Come In Stranger,Johnny Cash And The Tennessee Two,87,1,1958,,johnny cash and the tennessee two,
Crazy Country Hop,Johnny Otis,87,4,1958,,johnny otis,
So Much,Little Anthony And The Imperials,87,2,1958,,little anthony and the imperials,
Well I'm Your Man,Johnny Tillotson,87,3,1958,,johnny tillotson,
"A House, A Car And A Wedding Ring",Dale Hawkins,88,5,1958,,dale hawkins,
The Voice In My Heart,Eydie Gorme,88,1,1958,,eydie gorme,
It Don't Hurt No More,Nappy Brown,89,2,1958,,nappy brown,
Philadelphia U.S.A.,Art Lund,89,3,1958,,art lund,
The Purple People Eater Meets The Witch Doctor,Joe South,89,2,1958,,joe south,
Stay,The Ames Brothers,90,1,1958,,the ames brothers,
Coquette,Fats Domino,92,1,1958,,fats domino,
Hold It,Bill Doggett,92,1,1958,,bill doggett,
Invitation To The Blues,Ray Price,92,1,1958,,ray price,
Tic Toc,Lee Allen And His Band,92,1,1958,,lee allen and his band,
Young School Girl,Fats Domino,92,1,1958,,fats domino,
"A House, A Car And A Wedding Ring",Mike Preston,93,1,1958,,mike preston,
Down In Virginia,Jimmy Reed,93,2,1958,,jimmy reed,
Guess I've Been Around Too Long,Carl Smith,93,1,1958,,carl smith,
I Believe In You,Robert & Johnny,93,2,1958,,robert & johnny,
It's Raining Outside,The Platters,93,2,1958,,the platters,
We Have Love,Jackie Wilson,93,2,1958,,jackie wilson,
Bluebell,Mitch Miller,94,1,1958,Mitch Miller and his Orchestra and Chorus,mitch miller,
Bluebell,his Orchestra,94,1,1958,Mitch Miller and his Orchestra and Chorus,his orchestra,
Bluebell,Chorus,94,1,1958,Mitch Miller and his Orchestra and Chorus,chorus,
Jealous Heart,The Fontane Sisters,94,1,1958,,the fontane sisters,
Midnighter,The Champs,94,1,1958,,the champs,
Yes I Want You,Ivory Joe Hunter,94,1,1958,,ivory joe hunter,
You Got That Touch,Sonny James,94,2,1958,,sonny james,
Billy Bayou,Jim Reeves,95,1,1958,,jim reeves,
Old MacDonald,The Chargers,95,1,1958,,the chargers,
Paris,Perez Prado,95,1,1958,Perez Prado And His Orchestra,perez prado,
Paris,His Orchestra,95,1,1958,Perez Prado And His Orchestra,his orchestra,
Someday (You'll Want Me To Want You),Jodie Sands,95,1,1958,,jodie sands,
Big Daddy,Jill Corey,96,2,1958,,jill corey,
Everyone Was There,Bob Kayli,96,2,1958,,bob kayli,
Fried Onions,Lord Rockingham's XI,96,1,1958,,lord rockingham's xi,
Geraldine,Jack Scott,96,1,1958,,jack scott,
Over And Over,Thurston Harris,96,1,1958,,thurston harris,
Ma Ma Ma Marie,The Gaylords,97,1,1958,,the gaylords,
Many A Time,Steve Lawrence,97,2,1958,,steve lawrence,
Sunday Barbecue,Tennessee Ernie Ford,97,1,1958,,tennessee ernie ford,
Flamingo L'Amore,The Gaylords,98,1,1958,,the gaylords,
Little Serenade,The Ames Brothers,98,1,1958,,the ames brothers,
Sweetheart,Peggy Lee,98,2,1958,,peggy lee,
The Reason,The 5 Chanels,98,1,1958,,the 5 chanels,
I'll Get By (As Long As I Have You),Billy Williams,99,1,1958,,billy williams,
Nothing In The World,Nat King Cole,99,1,1958,,nat king cole,
Pickle Up A Doodle,Teresa Brewer,99,1,1958,,teresa brewer,
Who Are They To Say,The DeCastro Sisters,99,1,1958,,the decastro sisters,
Going To Chicago Blues,Count Basie,100,1,1958,Count Basie & His Orch.,count basie,
Going To Chicago Blues,His Orch.,100,1,1958,Count Basie & His Orch.,his orch.,
Itchy Twitchy Feeling,The Swallows,100,1,1958,,the swallows,
Judy,Frankie Vaughan,100,1,1958,,frankie vaughan,
A Big Hunk O' Love,Elvis Presley,1,14,1959,Elvis Presley With The Jordanaires,elvis presley,
A Big Hunk O' Love,The Jordanaires,1,14,1959,Elvis Presley With The Jordanaires,the jordanaires,
Come Softly To Me,The Fleetwoods,1,16,1959,,the fleetwoods,
El Paso,Marty Robbins,1,22,1959,,marty robbins,
Heartaches By The Number,Guy Mitchell,1,20,1959,,guy mitchell,
Kansas City,Wilbert Harrison,1,16,1959,,wilbert harrison,
Lonely Boy,Paul Anka,1,15,1959,,paul anka,
Mack The Knife,Bobby Darin,1,26,1959,,bobby darin,
Mr. Blue,The Fleetwoods,1,20,1959,,the fleetwoods,
