label,big_3_affiliation,#_of_connected_artists,total_power_of_connected_artists
Philips,Other,15,1118
Hostess Entertainment Unlimited,Other,11,1094
Sparrow Records,Other,9,1090
Aftermath Entertainment,Universal,7,1054
RCA Nashville,Other,10,1046
London American Recordings,Other,11,1044
Universal Music Group,Other,14,1040
Dunhill Records,Universal,10,1036
Real Gone Music,Other,11,1031
Jasmine Records,Other,11,1026
Rise Records,Warner,7,1025
DGC Records,Universal,9,1022
Bell Records,Sony,11,988
Arista Nashville,Sony,9,988
ABC-Paramount,Other,10,981
UMC,Other,11,963
X5 Music Group,Warner,11,928
Exile,Other,1,922
20th Century Records,Other,9,914
Warner Music Australia,Warner,8,913
Capricorn Records,Sony,7,905
Cherrytree Records,Universal,7,890
PolyGram,Other,11,886
Charisma,Other,4,869
EMPIRE,Other,11,861
BMG Rights Management,Universal,9,857
Sundazed Music,Other,8,850
Tamla,Other,5,848
Epic Associated,Other,9,834
Charly Records,Other,12,826
So So Def,Other,5,824
550 Music,Sony,6,819
Carrère,Other,9,817
Quality Control Music,Universal,11,816
No Limit Records,Other,7,807
TVT Records,Sony,5,804
Stax,Other,10,803
Buddha Records,Other,7,784
G.O.O.D. Music,Other,8,783
Festival Records,Other,9,775
Slip‐N‐Slide Records,Other,4,772
SOFA - AV Catalog PS,Other,8,771
Lost Highway,Other,3,770
AMIGA,Other,13,768
Old Gold,Other,8,766
Warner Music,Other,8,760
Music on Vinyl,Other,11,754
FP,Other,10,753
Syco Music,Other,7,751
Dot Records,Universal,6,746
Laurie Records,Universal,6,745
Maverick,Other,4,744
ARC Records,Other,8,743
Broken Bow Records,Other,4,739
CMG,Other,6,737
Island Mercury,Other,7,736
Disky,Other,8,731
Sony Music | Latin,Other,6,731
Classic Records,Other,12,731
Paisley Park,Other,6,727
Castle Communications,Other,9,727
Roulette,Other,8,726
EMI Electrola,Other,8,723
American Recordings,Sony,5,706
BR Music,Other,8,701
The Island Def Jam Music Group,Universal,9,701
Pye Records,Warner,6,695
Cooking Vinyl,Sony,6,693
Roc‐A‐Fella Records,Other,7,693
Smash Records,Universal,8,693
Fisher-Price,Other,7,692
7T’s,Other,8,691
Aware Records,Sony,5,684
EastWest Japan,Other,8,676
Black Tulip,Other,7,675
Grateful Dead Records,Other,1,663
Mosley Music Group,Universal,4,662
Caroline Records,Universal,9,660
Black Box,Other,8,659
Bellaphon,Other,10,659
I.R.S. Records,Universal,7,657
Shady Records,Universal,6,655
sixstepsrecords,Other,4,651
Uptown Records,Universal,4,647
Big Machine Records,Universal,4,643
Epic Records International,Other,8,628
Dim Mak Records,Other,6,623
SBK Records,Universal,6,621
Barclay,Other,6,617
Glassnote,Other,3,616
Essential Records,Sony,4,614
K‐tel,Other,8,609
Walt Disney Records,Universal,6,608
Top Dawg Entertainment,Universal,5,607
EMI Music Canada,Other,8,607
Taylor Swift,Other,5,600
Tommy Boy,Other,7,592
Hip‐O Select,Other,9,591
Goldenlane Records,Other,6,590
Buddah Records,Sony,6,590
Virgin EMI Records,Universal,6,589
Death Row Records,Other,6,586
Music on CD,Other,7,584
Kemosabe,Other,5,583
Tamla Motown,Other,8,575
LaserLight Digital,Other,6,570
Sony Records,Other,7,569
Warner Music Nashville,Warner,5,566
Hallmark Records,Other,8,565
Monument,Other,7,564
Duchesse,Other,6,561
Altaya,Other,7,561
Polo Grounds Music,Sony,5,559
Cactus Jack,Other,4,556
Bella Union,Other,4,553
Beggars Japan,Other,5,552
Star Trak,Other,4,551
Sony Music Special Products,Other,9,551
Cherry Red Records,Other,7,549
Epitaph,Other,7,549
Universal Island Records,Other,7,547
Grand Hustle,Other,4,539
Universal Music Latino,Universal,5,538
BNA Records Label,Other,4,538
Full Moon Records,Other,3,535
Anti‐,Other,4,530
Ace,Other,7,528
UMe,Other,6,527
Rush Associated Labels,Other,5,526
Domino,Other,4,526
Virgin Records America,Other,7,513
INO Records,Other,1,508
Casablanca Record and FilmWorks,Other,5,507
Immortal Records,Sony,4,503
KSR Group,Other,4,500
Matador,Other,4,498
Razor & Tie,Universal,4,498
G Unit,Other,5,494
Big Tree Records,Warner,6,490
Reach Records,Sony,2,490
Fantasy,Other,7,489
Dunhill ABC,Other,5,482
CBS Special Products,Other,7,478
Volt,Other,3,478
Axis,Other,4,478
Decaydance,Other,5,477
Paper Route Empire,Other,2,476
Kapp Records,Universal,4,473
Sequel Records,Other,5,469
Beluga Heights,Warner,3,468
Sony Music Japan International Inc.,Other,5,466
XL Recordings,Other,6,466
Universal Music Group International,Other,5,462
Def Jam Music Group,Other,5,460
Discos CBS,Other,5,459
Disturbing tha Peace,Other,3,459
Zounds,Other,5,459
ABKCO,Other,5,457
Hopeless Records,Other,4,457
wea,Other,7,456
Parkway,Other,4,453
Almighty Records,Other,5,452
Chess,Other,4,452
10K Projects,Warner,5,451
RPM,Other,5,450
EMI Records USA,Other,5,449
Fiction,Other,4,448
12Tone Music,Other,3,448
Philadelphia International Records,Sony,5,447
Street Records Corporation,Other,4,447
Big Loud Records,Other,2,444
Blue Note,Other,5,444
Music Club Deluxe,Other,5,442
ATO Records,Other,3,441
Vee-Jay Records,Other,4,440
Blackened,Other,2,440
DEP International,Other,1,438
A&M/Octone Records,Other,3,436
Disques Vogue,Other,5,435
Sony Music CG,Other,4,435
Sub Pop Records,Warner,6,433
Esoteric Recordings,Other,4,432
Victor,Other,4,432
Lyric Street Records,Other,2,431
eOne,Other,4,431
Repertoire Records,Other,5,429
Blackground Records,Universal,5,429
Please.,Other,6,424
Vinyl Me,Other,6,424
Astralwerks,Universal,5,422
Wind‐up,Other,3,421
Chronicles,Other,11,416
Castle Select,Other,5,413
Def Soul,Other,4,412
Fearless Records,Other,3,412
KOCH Records,Other,6,409
Virgin America,Other,3,408
A1 Recordings,Other,1,407
No̅o̅ Trybe,Other,4,405
Verve,Other,8,404
Manhattan,Other,3,403
Bang Records,Other,5,402
AOI Records,Other,1,402
BIGHIT MUSIC,Other,5,398
Warner Music Japan,Warner,4,397
Fo’ Reel Entertainment,Other,4,396
E1 Entertainment,Other,4,395
BMG Brasil Ltda.,Other,4,394
SME Records,Sony,6,394
Cadence Records,Other,4,391
Universal South,Other,3,389
Fourth and Broadway Records,Other,4,389
Era Records,Other,4,388
Alfa,Other,4,388
Private Stock,Other,4,388
Planet,Other,2,386
Aziя Records,Other,4,385
CBS Associated Records,Other,4,385
OVO Sound,Sony,4,384
Sony Music Entertainment,Other,7,383
FFRR,Other,5,381
4AD,Other,3,380
Kama Sutra,Other,5,378
Vertigo,Other,8,376
Philles Records,Sony,3,374
Sony BMG Music Entertainment Custom Marketing Group,Other,4,374
IDJ,Other,4,372
Liberation Records,Other,3,372
Howling Bull Records,Other,2,370
Prosthetic Records,Other,2,369
River House Artists,Other,1,362
Castle Classics,Other,5,362
Cooperative Music,Other,4,361
Opium,Universal,2,360
Boominati Worldwide,Other,3,360
Caroline International,Other,4,359
Solid State Records,Other,2,358
Dimension,Other,3,357
Grateful Dead Productions,Other,1,357
Private Music,Sony,1,355
Hip‐O Records,Other,6,355
Spunk!,Other,2,353
Loud Records,Sony,2,353
Chinese Dragon Music,Other,2,351
Ruffhouse Records,Sony,3,350
MCA Special Products,Other,5,349
BCM Records,Other,4,349
BMG Heritage,Sony,7,348
The Valory Music Co.,Other,4,345
Camden Deluxe,Other,7,345
WEA Records,Other,5,342
Aquarius Records,Other,2,342
BMG Direct Canada,Other,4,341
Castle Records,Warner,1,340
Nettwerk,Warner,3,340
EMI USA,Universal,4,339
Rostrum Records,Other,3,337
Rap-A-Lot Records,Other,2,336
Mute,Other,1,335
Vocalion,Other,5,334
BigHit Entertainment,Other,3,334
DreamWorks Nashville Records,Other,3,333
Coed,Other,3,332
Bludgeon Riffola,Other,1,331
Bong Load Records,Other,1,331
Remote Control,Other,5,331
Big Life,Other,2,330
Atlantic Records UK,Warner,4,329
Roc Nation,Universal,3,328
Duars Entertainment,Other,1,327
604 Records,Sony,2,327
SideOneDummy Records,Other,2,325
Freebandz Entertainment,Other,2,324
Sue Records,Other,2,322
Phonogram,Other,4,322
LVRN,Other,2,321
American Gramaphone,Other,2,320
Concord Records,Other,5,317
Metal Blade Records,Other,2,317
Inpop Records,Other,2,317
UNI Records,Other,4,312
Culture Factory,Other,2,312
Dress Up,Other,1,311
Cube Records,Other,1,309
Cherry Pop,Other,3,309
WEA International,Other,4,304
BMG UK & Ireland,Other,5,303
Rough Trade,Other,6,301
Flip Records,Other,3,301
Country Stars,Other,3,300
KSR,Other,3,300
Cooltempo,Other,3,299
Gallo,Other,3,299
Siren Records,Universal,3,299
Rock Candy,Other,6,298
School Boy Records,Other,3,298
Art Optimum,Other,3,298
HumpHead,Other,3,296
Quality,Other,3,296
Hickory Records,Sony,3,295
A Play Collection,Other,3,295
ChopNotSlop Ent.,Other,3,295
Scepter,Other,3,295
Aerosmith P&D – Sony,Other,1,295
EMI‐Capitol Music Special Markets,Other,3,294
Chocolate City Records,Other,1,294
PolyGram Records,Universal,4,294
JEMP Records,Other,1,294
Live Line,Other,3,294
Capitol Records UK,Universal,2,294
High Note Records,Other,3,294
Sony Music Soundtrax,Other,3,293
Epic Street,Other,3,293
Beggars Banquet,Other,3,293
2000 FruitGum,Other,6,292
Jugoton,Other,3,292
Magic Records,Universal,3,292
Colpix,Other,3,291
Edel Records,Other,3,291
Visionary Music Group,Other,2,291
Alegra,Other,2,291
Ode Records,Sony,2,290
Disruptor Records,Sony,3,290
Tha Lights Global,Other,3,290
Full Surface Records,Warner,2,290
Zone 4,Universal,2,290
All Around the World,Other,3,290
Solar,Other,4,290
Spinnin’ Records,Other,3,289
ARS Productions,Other,3,288
T-Neck,Other,2,288
Mercury Music Group,Other,2,287
Acadia,Other,3,287
Daily Mail,Other,3,287
Dine Alone Records,Other,3,287
Warner Music Benelux,Warner,3,287
Top Dog Records,Other,2,287
COOLPRICE,Other,2,287
Marginal Records,Other,3,287
EMI Manhattan,Other,3,286
KIDinaKORNER,Universal,3,286
Delta,Other,3,285
Undeas Recording,Other,3,285
Red Bird,Other,3,285
Bertelsmann Club,Other,3,284
Cabin 24 Records,Other,1,283
Metromedia Records,Other,2,283
T.K. Records,Other,3,283
A$AP Worldwide,Other,2,283
De‐Lite Records,Other,1,283
Hallmark Music & Entertainment,Other,3,282
Karussell,Other,3,281
Relentless Records,Sony,2,281
Rimas,Other,3,280
Mom+Pop,Other,3,280
URBAN,Other,2,280
PMR Records,Universal,2,280
Victor Victor,Other,3,279
BBC,Other,2,278
EMI Catalogue,Other,4,278
Zomba,Other,3,278
Downtown,Other,2,278
Essential! Records,Other,3,277
Charisma Records Ltd.,Other,2,277
Clean Slate,Other,2,277
ByStorm Entertainment,Sony,3,277
KICK ROCK INVASION,Other,2,277
TSNMI,Other,1,276
Blackground Enterprises,Other,2,276
AWAL Recordings,Other,2,275
T.U.G. Entertainment,Other,2,275
VP Records,Universal,3,274
V2,Other,3,274
MapleMusic Recordings,Other,3,274
RAK,Other,4,274
Puff Daddy Records,Other,3,274
Pye International,Other,3,273
10 Records,Universal,2,273
The Orchard,Sony,3,273
Verve Music Group,Universal,2,272
BMG Rights Management (US) LLC,Other,3,272
Giant,Other,3,270
Maybach Music Group,Other,2,270
Soul City,Other,2,269
20th Century-Fox Records,Other,2,269
BMG Australia,Other,3,269
American Pie,Other,3,268
Hickman Holler Records,Other,1,268
Attic,Other,3,267
Provogue,Other,1,266
J&R Adventures,Other,1,266
Cameo,Other,3,266
Def Jam South,Other,1,266
Island Def Jam,Universal,4,266
Warner Music Canada,Warner,2,265
Qwest Records,Other,3,265
Polydor Associated Labels,Other,3,264
Generation Now,Other,2,263
Sony Classical,Sony,2,263
Phono Music Zounds,Other,3,262
Southeastern Records,Other,2,262
BMG Records Africa,Other,3,262
Rancho Humilde,Other,1,262
Mad Decent,Other,2,262
Eardrummers Entertainment,Other,1,261
Ultra Records,Sony,5,261
Island Black Music,Other,2,261
Bong Load Custom Records,Other,1,261
Goldisc,Other,3,260
EMI Music Japan Inc.,Other,1,260
Everlasting Records,Other,2,260
Warner Music Denmark,Warner,3,259
Merge Records,Warner,3,259
Almo Sounds,Universal,1,257
88rising,Other,1,256
Warner,Warner,3,255
Sony Urban Music,Other,2,254
Demon Records,Other,2,253
BMG Canada,Other,3,253
Born & Bred Records,Warner,1,252
Victory Records,Other,4,252
Octone Records,Universal,2,251
One Way Records,Other,4,250
Castle Pie,Other,3,249
The Darkroom,Other,1,247
Verity Records,Sony,2,247
Anthem Records,Other,1,247
Standby Records,Other,1,243
Centricity Music,Other,1,243
Stomp,Other,2,241
Eleven Seven Music,Other,3,240
Camel Records Inc.,Other,1,240
Monkey Puzzle Records,Other,1,239
Vanguard,Other,3,238
Asylum Records UK,Warner,2,238
Warner Archives,Other,4,238
Hi Records,Other,1,238
東芝EMI 株式会社,Other,2,238
Bud Music,Other,2,237
Back on Black,Other,3,237
Relativity Records,Other,4,237
AGAT Company Ltd.,Other,3,234
Machine Entertainment Group,Other,1,234
NPG Records,Other,3,234
Epic Legacy Records,Other,3,233
Phonogenic,Other,2,233
EMI Music France,Other,4,233
C2Records,Other,3,233
Festival Mushroom Records,Warner,4,232
Vapor Records,Other,1,230
Vertigo Berlin,Other,4,230
ARS Entertainment,Universal,3,230
RED Ink,Other,3,228
Capitol CMG Label Group,Other,1,228
Good Buddy,Other,1,227
AJR Productions,Other,1,227
Epic Nashville,Other,1,225
DAS Label,Other,2,225
Brunswick,Other,3,225
Deram,Other,3,221
Cotillion,Other,3,220
Falcon Neue Medien,Other,5,219
Captured Tracks,Other,1,219
Chrome Dreams,Other,4,219
Universal Music France,Universal,3,218
Chrysalis Music Group USA,Other,3,217
P‐VINE RECORDS,Other,6,216
Black Butter Records,Sony,1,215
Harvest,Other,4,213
The Bicycle Music Company,Other,3,211
Universal Music Recordings,Universal,3,211
AFRTS,Other,4,211
House of Humbug,Other,3,210
Albert Productions,Sony,2,210
Funky Town Grooves,Other,4,209
Divine Mill,Other,2,209
RECORDS,Other,2,209
ANGRY DINO,Other,3,208
Beat Records,Other,6,208
Metronome,Other,3,207
Hand Me Down,Other,1,207
Virgin Music Canada,Other,3,207
EMI Electrola GmbH,Other,3,207
Island Masters,Other,5,206
EMI United Kingdom,Other,3,206
Black Ice Records,Other,2,205
Nonesuch Digital,Other,1,204
Young Money,Other,3,203
Regular Records,Other,1,203
Wounded Bird Records,Other,4,201
Show Dog–Universal Music,Other,1,201
TP4 Music,Other,2,200
L.T. Series,Other,2,200
Red Ant Entertainment,Other,2,200
Jay Boy,Other,2,200
Grapefruit Productions,Other,2,200
Music Options,Other,2,200
Columbia Pictures,Other,2,200
Sunnyview Records,Other,2,200
Integrity Music,Other,4,200
Hansa,Other,2,200
Ariola Records America,Other,2,200
Radio Archives,Other,2,200
Eardrum Records,Warner,2,200
Warner Dance Labels,Other,2,200
Sony Music Commercial Music Group,Other,1,200
Grunt,Other,2,200
BMG Colombia,Other,2,200
Colgems,Other,1,200
Rebel Rock,Other,2,199
Bad Vibes Forever,Other,1,199
Graveyard Child Escape,Other,2,199
Treasury Collection,Other,2,199
BMG Rights Management GmbH,Other,2,199
Beltone Records,Other,2,198
JYP Entertainment,Universal,2,198
Castle Pulse,Other,2,198
Gruppo editoriale l’Espresso,Other,2,198
Valiant Records,Other,2,198
Gentlemen of the Road,Other,2,198
Canadian-American Records,Other,2,198
Half Moon,Other,2,198
B 13,Other,3,198
Herb Alpert Presents,Other,2,198
EMI Records Nashville,Universal,2,198
CTE World,Warner,2,198
Cub Records,Other,2,198
Coconut,Other,2,198
Dew Process,Universal,2,198
Gallo Record Company,Other,2,198
Arista Records,Sony,2,197
The Hit Label,Other,1,197
Backstreet Records,Universal,2,197
Love Da Records,Other,2,197
Poe Boy,Other,1,197
Life Time,Other,2,197
BMG International,Other,2,197
Poe Boy Entertainment,Other,1,197
BMLG Records,Other,2,196
Collectables Records Corp.,Other,2,196
Experience Hendrix,Other,2,196
NBC,Other,2,196
Acta,Other,2,196
C5 Records,Other,1,196
Indigo Records,Other,2,196
BRIT Awards Limited,Other,2,196
Sony,Sony,2,196
AM:PM,Other,2,196
South Coast Music Group,Other,2,196
Dik Hayd Records,Other,2,195
Digimode Entertainment Ltd.,Other,2,195
Goliath Artists,Other,2,195
Embassy,Other,2,195
Ruff Ryders,Other,2,195
Interscope PS,Other,2,195
Equal Vision Records,Other,4,195
Liberator Music,Other,2,195
Jerden,Other,2,195
Chancellor,Other,2,194
Crave,Other,2,194
Bad Batch Records,Other,2,194
Gasoline Alley,Other,1,194
Shelter Records,Universal,3,194
Riotville Records,Other,2,194
LaserLight,Other,2,194
Es Paranza,Other,2,194
Keia Records,Other,1,194
Desert Storm Records,Universal,1,194
EMI MusicResources,Other,2,194
Rounder,Other,2,194
ARK 21,Other,2,194
Fury Records,Other,2,194
Carlton,Other,2,194
Third Man Records,Other,2,194
Digital Distribution Trinidad and Tobago,Other,2,194
Fraternity,Other,2,194
Purple Pyramid,Other,2,194
Disky Communications B.V.,Other,2,194
Eric Records,Other,2,194
Bigtop,Other,2,194
Sony Music Direct (Japan) Inc.,Other,2,194
Thirty Knots,Other,2,194
Phil L.A. of Soul,Other,2,193
BMG Africa,Other,2,193
Enterprise Records,Other,1,193
Rare Earth,Other,2,193
Blanco y Negro Records,Other,2,193
Seville Records,Other,2,193
Just Music,Other,2,193
Island Music,Other,2,193
Warner Bros. Nashville,Other,2,193
RPM Records,Other,1,193
Argo,Other,2,193
Acrobat Music,Other,2,193
Rolling Stones Records,Universal,2,193
Request Records,Other,2,193
BASF,Other,2,193
Konvict Kulture,Universal,1,192
Hideout Records & Distributors,Other,2,192
will.i.am Music Group,Sony,2,192
Globe,Other,2,192
Old Town Records,Other,2,192
Enigma,Other,2,192
Humphead Records,Other,2,192
UMGRI Interscope,Other,2,192
Relic Records,Other,2,192
South Bay,Other,2,192
On the Low Records,Other,2,192
Fernwood,Other,2,192
Promo Records,Other,2,192
Sum Records,Other,2,192
Music for Pleasure,Other,2,192
Josie Records,Other,2,192
Good Time Records,Other,2,192
Gusto Records,Other,2,192
August Day,Other,2,192
Track Record,Other,2,191
Success,Other,2,191
Soul,Other,2,191
Fuel 2000 Records,Other,2,191
Del-Fi Records,Warner,2,191
Big Gates Records,Other,2,191
Siren,Other,2,191
Barsuk Records,Warner,2,191
Data Records,Other,2,191
CMV Enterprises,Other,2,191
Dolton,Other,2,191
Sussex,Other,2,191
Friends Keep Secrets,Universal,1,191
I.G. Records,Other,2,190
Hillsong,Other,1,190
Ministry of Sound,Sony,2,190
RCA Music Service,Other,2,190
Warner Music UK,Warner,2,190
Big Time Phonograph Recording Co.,Other,1,190
Big Brother,Other,1,190
Classic Popular,Other,1,190
Elemental Music,Other,2,190
Rhino Special Editions,Other,2,190
Eldo Records,Other,2,190
Universal Music Canada,Universal,2,190
Creation Records,Other,1,190
On Stage,Other,4,190
Grade A Productions,Other,2,190
Virgin Music,Universal,2,190
XIX Recordings,Other,1,190
143 Records,Warner,2,189
Regal,Other,2,189
10 Summers Records,Other,2,189
Gala Records,Other,2,189
Autumn Records,Other,2,189
Or Music,Other,2,189
Big Time Records,Other,1,189
Real Talk Entertainment,Other,2,189
Republic Nashville,Other,2,189
AZ,Other,2,189
Direct Source Special Products Inc.,Other,2,189
Bama Rags,Other,2,189
My Block Records,Other,2,188
Mega Records,Other,2,188
Noo Trybe Records,Other,2,188
Atlantic Nashville,Other,1,188
EMI-Capitol Special Markets,Other,2,188
Cargo Records,Other,2,188
Sony Music Media,Other,2,188
Metal Blade Records Japan,Other,2,188
MJJ Music,Sony,2,188
Mavin Records,Other,2,188
Photo Finish Records,Warner,1,188
Record Company TEN,Other,2,188
OutBurst Records,Other,2,188
Edge,Other,2,188
MBK Entertainment,Other,1,188
Donna,Other,2,188
Happinet,Other,2,187
Get On Down,Other,2,187
Amy Grant Productions,Other,1,187
Fly Eye,Other,2,187
Now Sounds,Other,2,187
AWGE,Universal,1,187
Stiff Records,Other,2,187
Portrait,Other,2,187
Crimson,Other,2,187
Musicor Records,Other,1,187
Street Mob Records,Other,1,186
Varèse Sarabande,Universal,2,186
1017 Brick Squad Records,Other,2,186
Del Imaginario Discos,Other,1,186
Bella Musica,Other,1,186
PolyGram Special Markets,Other,1,186
Atlanta Artists,Universal,1,186
Schranz,Other,2,186
Capitol Special Markets,Other,2,186
Def Squad,Other,1,186
Todo Mundo,Other,2,186
Armando Curcio Editore,Other,2,185
Round Hill Records,Other,2,185
Amazon Content Services,Other,2,185
BME Recordings,Warner,1,185
BMG Eurodisc,Other,2,185
Digital Opium,Other,1,185
Page One,Other,1,185
CNR Music,Other,2,184
Mushroom Records,Other,2,184
Deconstruction,Other,2,184
Mosley Music,Other,1,184
Prism Leisure,Other,3,184
MainMan,Other,1,184
Ferret Music,Warner,2,184
Eagle Rock Entertainment,Universal,2,183
Bread Winners’ Association,Other,1,183
Fat Possum Records,Other,3,183
Alligator,Other,2,182
Retro Music,Other,2,182
Artemis Records,Other,2,182
DTS Entertainment,Other,3,182
Goodbye Records,Other,1,182
ABC Command Quadraphonic,Other,2,182
Capitol Records (International),Other,2,182
14th Floor Records,Warner,2,182
Bearsville Records,Warner,2,182
Warner Music Latina,Other,1,181
Mercer Street Records,Other,1,181
Suretone Records,Universal,2,181
XO,Other,1,181
BMG Entertainment,Sony,3,181
Neutron Records,Other,1,180
Follow That Dream Records,Other,1,180
Casablanca,Other,2,180
BBE,Other,1,180
Immortal,Other,2,180
Verve Forecast,Other,3,179
Chaos Recordings,Sony,2,179
SRC Records,Universal,2,179
Arts & Crafts,Other,1,179
Aptly Named Recordings,Other,1,177
BridgeTone Records,Other,1,177
Twilight Records,Other,2,177
Elap Music,Other,2,177
Intervention Records,Other,4,177
Archives Records & Tapes,Other,1,177
JMJ Records,Other,1,176
Classics France,Other,1,176
Subterrane Records,Other,1,176
Drive,Other,1,176
Suave House,Other,2,176
Polar,Other,2,176
Epic Records,Sony,4,176
SoulMusic Records,Other,3,176
Average Joe's Ent.,Other,1,175
Century Media,Other,1,175
Orange Leisure,Other,2,174
4 Men With Beards,Other,2,174
Bronze,Other,2,174
Elektra Nashville,Other,1,173
Mystic Entertainment Group,Other,2,173
Dimelo Vi,Other,1,173
Dirty Hit,Other,1,173
Steed Records,Other,1,172
Sony Music UK,Sony,1,172
Traffic Inc.,Other,2,172
Columbia Nashville Legacy,Other,2,172
EMI Latin,Other,1,172
Volcano Records,Other,2,171
Capitol Music,Other,1,171
EMI Music Catalogue Marketing,Other,1,171
Never Broke Again,Other,1,171
Pickwick,Other,2,171
Artone,Other,2,171
Amaru Entertainment,Other,3,169
Gasolina Recording Co.,Other,1,167
Rawkus Entertainment LLC,Other,1,167
CTI,Other,3,167
Hoodoo Records,Other,3,167
Rawkus Records,Other,1,167
Craft Recordings Latino,Other,1,167
El Cartel Records,Universal,1,167
Sony 550 Music,Other,2,166
Oldays Records,Other,2,166
RevOla Records,Other,2,166
20th Century Fox TV Records,Other,2,166
MySpace Records,Other,1,165
Word,Other,2,164
EMI Gold,Universal,2,164
!K7,Other,3,164
Black River Entertainment,Sony,1,164
Elektra Traditions,Other,2,163
DJ:,Other,2,163
ADTR Records,Other,1,163
Profile,Other,1,163
Tsunami Mob,Other,1,163
Royal Mountain Records,Other,1,163
Yab Yum Records,Other,1,162
EMI Music Special Markets,Other,3,161
EMI France,Other,3,160
Biv Ten Records,Other,1,160
Golden Child Recordings,Other,1,160
CoJo Music,Other,1,158
Geffen Goldline,Other,2,158
222 Records,Universal,2,157
Ninja Tune,Other,1,157
Counter Records,Other,1,157
Star Song,Other,1,156
Murder Inc Records,Other,2,156
Strainge Entertainment,Other,2,156
Essential Media Group,Other,2,156
ARC Music,Other,2,155
Comedy Central Records,Warner,2,154
Hear Music,Other,2,154
Motown Music,Other,1,154
Armoury Records,Universal,2,154
Epitaph Europe,Other,3,153
Pair Records,Other,2,153
Real Hasta la Muerte,Other,1,152
Date,Other,1,151
Rebound Records,Other,2,150
Spinefarm Records,Universal,3,150
Scumgang Records,Other,1,150
B1 Recordings,Other,1,150
Wing,Other,1,150
BKC,Other,2,150
Top Rank International,Other,2,149
City Slang,Other,2,148
Gamble,Other,1,148
Selected Sound Carrier,Other,2,148
Keen,Other,1,148
Unidisc,Other,4,148
Music World Music,Other,2,147
G*59 Records,Other,1,147
Frenchkiss Records,Sony,1,147
DFA Records,Other,1,146
