name,wiki_article,wiki_match_method,wiki_views_2015,wiki_views_2016,wiki_views_2017,wiki_views_2018,wiki_views_2019,wiki_views_2020,wiki_views_2021,wiki_views_2022,wiki_views_2023,wiki_views_2024,wiki_views_first_top10_year,wiki_views_first_charting_year,wiki_has_page
3rd bass,,rejected_low_similarity,,,,,,,,,,,,,False
3rd party,Official Monster Raving Loony Party,name_search,126574.0,146413.0,318410.0,104144.0,403026.0,150730.0,195641.0,166426.0,143481.0,330574.0,,,True
3rd storee,,not_found,,,,,,,,,,,,,False
3rd strike,,not_found,,,,,,,,,,,,,False
3rdeyegirl,3rdeyegirl,name_search,23197.0,146837.0,38861.0,34278.0,37641.0,37073.0,36426.0,30855.0,26289.0,25214.0,,,True
3t,,not_found,,,,,,,,,,,,,False
3x krazy,,not_found,,,,,,,,,,,,,False
4 by four,,not_found,,,,,,,,,,,,,False
4 non blondes,What's Up? (4 Non Blondes song),name_search,,,,,146162.0,223180.0,243961.0,288395.0,439088.0,365097.0,,,True
4 runner,Blade Runner 2049,name_search,,706698.0,7096084.0,5224097.0,2336793.0,2426345.0,2586858.0,2634888.0,3346986.0,2418512.0,,,True
4 the cause,,not_found,,,,,,,,,,,,,False
4*town (from disney,,not_found,,,,,,,,,,,,,False
4.0,,not_found,,,,,,,,,,,,,False
40 cal.,40_Cal.,musicbrainz_link,10799.0,21368.0,24733.0,19135.0,19855.0,20441.0,37597.0,15629.0,14666.0,14292.0,,,True
40 thevz,,rejected_low_similarity,,,,,,,,,,,,,False
41,Sum 41,name_search,413601.0,974093.0,634695.0,608818.0,755081.0,578529.0,577181.0,636079.0,889290.0,989559.0,,,True
42 dugg,42_Dugg,musicbrainz_link,,,,,,248935.0,391784.0,293369.0,237379.0,187290.0,,,True
49-ers,,not_found,,,,,,,,,,,,,False
4batz,,not_found,,,,,,,,,,,,,False
4him,,not_found,,,,,,,,,,,,,False
4pm,,rejected_low_similarity,,,,,,,,,,,,,False
4troops,,rejected_low_similarity,,,,,,,,,,,,,False
5 satins,,rejected_low_similarity,,,,,,,,,,,,,False
5 seconds of summer,,not_found,,,,,,,,,,,,,False
5 special,,not_found,,,,,,,,,,,,,False
5 stairsteps,,rejected_low_similarity,,,,,,,,,,,,,False
50 cent,,not_found,,,,,,,,,,,,,False
50 cent feat. mobb deep,Outta Control (50 Cent song),name_search,11119.0,19838.0,21576.0,16776.0,15062.0,18651.0,17061.0,20848.0,25298.0,21419.0,,,True
5000 volts,,not_found,,,,,,,,,,,,,False
504 boyz,,not_found,,,,,,,,,,,,,False
54th platoon,,rejected_low_similarity,,,,,,,,,,,,,False
5th ward boyz,,not_found,,,,,,,,,,,,,False
69 boyz,,not_found,,,,,,,,,,,,,False
6ix9ine,6ix9ine,name_search,,,53615.0,12091008.0,6431526.0,6529669.0,2721218.0,1809092.0,2367913.0,1291857.0,,53615.0,True
6lack,,not_found,,,,,,,,,,,,,False
7 aurelius,,not_found,,,,,,,,,,,,,False
7 mile,,not_found,,,,,,,,,,,,,False
7 seconds,Kevin Seconds,name_search,7315.0,13851.0,15283.0,15428.0,11583.0,12186.0,13317.0,16002.0,13074.0,11044.0,,,True
702,,not_found,,,,,,,,,,,,,False
707,,not_found,,,,,,,,,,,,,False
88rising,,not_found,,,,,,,,,,,,,False
8ball,,rejected_low_similarity,,,,,,,,,,,,,False
9.9,February 9,name_search,22406.0,160564.0,128906.0,152999.0,88515.0,73854.0,87876.0,103655.0,145473.0,165807.0,,,True
95 south,,not_found,,,,,,,,,,,,,False
98 degrees,,not_found,,,,,,,,,,,,,False
99 percent,,not_found,,,,,,,,,,,,,False
999,999 (band),name_search,25088.0,56716.0,50858.0,52054.0,56176.0,72158.0,63566.0,43571.0,41052.0,45523.0,,,True
9lokknine,9lokkNine,name_search,,,,,68608.0,140827.0,118539.0,166138.0,156132.0,86430.0,,,True
9th wonder,9th Wonder,name_search,65588.0,127178.0,176975.0,135491.0,131053.0,128441.0,110265.0,93215.0,88422.0,85826.0,,,True
? (question mark),,not_found,,,,,,,,,,,,,False
a boogie wit da hoodie,,not_found,,,,,,,,,,,,,False
a boogie wit da hoodie & london on da track,A Boogie wit da Hoodie,name_search,,81423.0,709757.0,698906.0,828757.0,672039.0,392130.0,334703.0,393444.0,335971.0,,672039.0,True
a change of pace,,not_found,,,,,,,,,,,,,False
a day to remember,A Day to Remember,name_search,310933.0,552742.0,321011.0,271107.0,357225.0,345060.0,339025.0,331685.0,294387.0,333926.0,,,True
a few good men,,not_found,,,,,,,,,,,,,False
a fine frenzy,Alison_Sudol,musicbrainz_link,116902.0,736406.0,683713.0,616325.0,434525.0,327669.0,369434.0,798131.0,424103.0,307839.0,,,True
a firm handshake,,not_found,,,,,,,,,,,,,False
a flock of seagulls,A Flock of Seagulls,name_search,114569.0,237928.0,302644.0,329300.0,305233.0,328192.0,337391.0,332157.0,421288.0,374903.0,,,True
a great big world,A Great Big World,name_search,207025.0,179799.0,105988.0,114480.0,116074.0,102682.0,75217.0,62729.0,55019.0,52058.0,,,True
a lot like birds,,not_found,,,,,,,,,,,,,False
a new beginning,,not_found,,,,,,,,,,,,,False
a perfect circle,,not_found,,,,,,,,,,,,,False
a prayer fife,,not_found,,,,,,,,,,,,,False
a r i z o n a,,rejected_low_similarity,,,,,,,,,,,,,False
a r rahman,,not_found,,,,,,,,,,,,,False
a ragamuffin band,,rejected_low_similarity,,,,,,,,,,,,,False
