musicbrainz_artist_id,musicbrainz_artist_mbid,artist_name,youtube_url,youtube_id,url_type
96,f31ec2ac-9071-4306-acd1-d2c8321033b5,The Bangles,https://music.youtube.com/channel/UCbDhmIEDPG3_mLHfkfolSaA,UCbDhmIEDPG3_mLHfkfolSaA,channel_id
5556,39822e8d-f24e-4f07-b51b-28b22e59fbdb,Kreator,https://music.youtube.com/channel/UCd3NOEbRV6V3RKqUqvlrQ8w,UCd3NOEbRV6V3RKqUqvlrQ8w,channel_id
171625,0a176d0a-ef46-4e7f-b018-9f4d65614668,The Avett Brothers,https://www.youtube.com/channel/UCJlAF3BOWRidnBHehwPS7mA,UCJlAF3BOWRidnBHehwPS7mA,channel_id
407,5700dcd4-c139-4f31-aa3e-6382b9af9032,Kraftwerk,https://music.youtube.com/channel/UCNUkEFnPvPsWtzftcd45t1A,UCNUkEFnPvPsWtzftcd45t1A,channel_id
182141,6301cda3-f614-4501-a1c4-b19b27c2efac,LP,https://www.youtube.com/channel/UCGZhNQ6mRnvLa0_oVJNG_kA,UCGZhNQ6mRnvLa0_oVJNG_kA,channel_id
42710,b2a92fa4-ba29-431f-a9ea-08a2956e9b25,Kottonmouth Kings,https://www.youtube.com/channel/UChCwB46DxiGdgCqPufkJbFw,UChCwB46DxiGdgCqPufkJbFw,channel_id
1940003,7b46472b-adda-4a9e-a6e7-824dedff9200,The Backseat Lovers,https://www.youtube.com/channel/UCvlA96rICVyF_nMpl_xSQ0A,UCvlA96rICVyF_nMpl_xSQ0A,channel_id
1359875,fb4d3639-dac0-478e-8776-4417096d8381,The Band CAMINO,https://www.youtube.com/channel/UC2dZ0a6uJJHWMoF7oah6zew,UC2dZ0a6uJJHWMoF7oah6zew,channel_id
673900,28955336-2348-488a-9381-e3a7b0107343,The Band Perry,https://www.youtube.com/channel/UC5lp1vncB8eJV11uvrqnniQ,UC5lp1vncB8eJV11uvrqnniQ,channel_id
352,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,Korn,https://music.youtube.com/channel/UCdSgOgQ0WtelXBMKF3tDsqg,UCdSgOgQ0WtelXBMKF3tDsqg,channel_id
777,2469950a-f0ca-425a-bfbc-baf55ea3afde,Kool & the Gang,https://www.youtube.com/channel/UCX8pxyrMe7tJDhpM2DRgHvw,UCX8pxyrMe7tJDhpM2DRgHvw,channel_id
1550313,fd95384f-943b-49c1-b427-791e78242714,Kota the Friend,https://www.youtube.com/channel/UCZG99ay_aiiY5GpX2z0lGuA,UCZG99ay_aiiY5GpX2z0lGuA,channel_id
835981,3afa378a-4a7f-46f5-b686-f41ee2287c0c,Kip Moore,https://www.youtube.com/channel/UCYzg6dx5CzGFd8jPF5OezLQ,UCYzg6dx5CzGFd8jPF5OezLQ,channel_id
461122,2ec89bcc-5bf9-4d2a-ac5e-44b7496d115a,La Dispute,https://music.youtube.com/channel/UC0wiweNrg2WISercjt2aDxw,UC0wiweNrg2WISercjt2aDxw,channel_id
841205,355cc194-b8db-4af2-8678-c7ad54213f4b,Latto,https://www.youtube.com/channel/UCRQ6wJbGwbF9Wmvp5HfT7Pg,UCRQ6wJbGwbF9Wmvp5HfT7Pg,channel_id
1989775,21a89505-10a9-4ac0-8388-833bc07b9f86,Laufey,https://www.youtube.com/channel/UChpKl3waLmccNeYH9LGYjUQ,UChpKl3waLmccNeYH9LGYjUQ,channel_id
765093,c7eb03c1-f8cb-4815-afc8-46df3b253129,Teyana Taylor,https://www.youtube.com/channel/UCjidxaqM2swsqmi-dgTLJPA,UCjidxaqM2swsqmi-dgTLJPA,channel_id
9994,917976a6-75b1-46af-b57b-71f13de20422,Laura Branigan,https://www.youtube.com/channel/UChUr6-Fbc5f5FH9f0YNWLfQ,UChUr6-Fbc5f5FH9f0YNWLfQ,channel_id
476545,cd9713d6-6e5f-4143-9412-4d12b7bd47f2,Laura Marling,https://www.youtube.com/channel/UC_ad9Wo0m69uyquvyNCazDg,UC_ad9Wo0m69uyquvyNCazDg,channel_id
945258,37d067eb-495e-4888-ad97-4b5708ffd3a9,Laura Mvula,https://www.youtube.com/channel/UCE46a9u8GPKAf0V-_RBwvTQ,UCE46a9u8GPKAf0V-_RBwvTQ,channel_id
14342,472b9953-1f10-4aed-b1ec-d0c23ffb2cf1,Laura Pausini,https://www.youtube.com/channel/UC2ScTcowKLzbyCl8ogJ_KKg,UC2ScTcowKLzbyCl8ogJ_KKg,channel_id
1175935,920c7a88-f8f3-482f-96ef-810c6442fc3e,Lauren Daigle,https://www.youtube.com/channel/UCPJFvbf8tNE9-_aYgeXfdKA,UCPJFvbf8tNE9-_aYgeXfdKA,channel_id
939039,911eced6-eeb5-43c4-81d5-94e152072108,Lauren Jauregui,https://www.youtube.com/channel/UCztlt79t8cvrtLpnoIXz2Pg,UCztlt79t8cvrtLpnoIXz2Pg,channel_id
2275267,0a727c70-cb97-4e3d-a973-219a0575349c,Lauren Spencer Smith,https://www.youtube.com/channel/UC5_0AVrgtXhtBObIFSX7JlA,UC5_0AVrgtXhtBObIFSX7JlA,channel_id
10298,86809b51-cbe2-45f1-804a-e66eed635dea,Laurie Anderson,https://www.youtube.com/channel/UC_VDnmv6HjIo9xYndATGfgw,UC_VDnmv6HjIo9xYndATGfgw,channel_id
161705,ca91d4fa-d532-426d-933a-14f26d83ab1b,Laurie Berkner,https://www.youtube.com/channel/UCQ9o9F8HYJV85XjciUS86_Q,UCQ9o9F8HYJV85XjciUS86_Q,channel_id
211,e8414012-4a1c-4ad4-be5e-fc55294e28cc,Lauryn Hill,https://www.youtube.com/channel/UCxISpPHkXV4RmeqOO4Z04Lg,UCxISpPHkXV4RmeqOO4Z04Lg,channel_id
116401,ae33ce8d-f41a-4f6b-b9c6-7859acbd04ef,Thalía,https://www.youtube.com/channel/UCwhR7Yzx_liQ-mR4nMUHhkg,UCwhR7Yzx_liQ-mR4nMUHhkg,channel_id
2427905,e5a2ad03-b5bd-4c56-97ce-bb574f00a19e,Lay Bankz,https://www.youtube.com/channel/UCv2P-5yNd-RLhgO8lWr_ocA,UCv2P-5yNd-RLhgO8lWr_ocA,channel_id
1858006,d500a17c-06cb-466d-afd4-f100a18d3afb,Layton Greene,https://www.youtube.com/channel/UCj2Orn_8MRyCRzpCq17RS_g,UCj2Orn_8MRyCRzpCq17RS_g,channel_id
