label,big_3_affiliation,year,#_of_connected_artists,#_of_connected_artists_rolling5,total_power_of_connected_artists,total_power_of_connected_artists_rolling5
2000 FruitGum,Other,1967,1,2,100,200
2000 FruitGum,Other,1971,1,2,-17,83
2000 FruitGum,Other,1974,1,2,-73,-90
2000 FruitGum,Other,1988,1,1,91,91
206 Records,Other,1973,1,1,18,18
20:21,Other,2002,1,1,93,93
20th Century Fox TV Records,Other,1978,1,1,96,96
20th Century Fox TV Records,Other,2010,1,1,70,70
20th Century Records,Other,1972,1,1,-50,-50
20th Century Records,Other,1973,3,4,294,244
20th Century Records,Other,1974,3,5,293,537
20th Century Records,Other,1977,3,7,285,872
20th Century Records,Other,2006,1,1,92,92
20th Century Tapes,Other,1974,1,1,100,100
20th Century-Fox Records,Other,1964,1,1,95,95
20th Century-Fox Records,Other,1979,1,1,79,79
20th Century-Fox Records,Other,1980,1,1,95,174
20‐20 Entertainment LLC,Other,2006,1,1,-27,-27
20‐20 Entertainment LLC,Other,2008,1,1,97,70
21 Records,Other,1982,1,1,91,91
213 Records,Other,1982,1,1,100,100
222 Records,Universal,2016,1,1,65,65
222 Records,Universal,2017,1,2,92,157
2DF.enterprises,Other,1982,1,1,91,91
2P Production,Other,2010,1,1,100,100
3 Amigos,Other,1974,1,1,100,100
300 Entertainment,Warner,1988,1,1,99,99
300 Entertainment,Warner,2015,3,3,276,276
300 Entertainment,Warner,2016,2,4,200,476
300 Entertainment,Warner,2017,3,6,165,641
300 Entertainment,Warner,2018,3,8,293,934
300 Entertainment,Warner,2019,1,9,91,1025
300 Entertainment,Warner,2020,1,7,100,849
300 Entertainment LLC,Other,2017,1,1,57,57
311 Records,Other,1995,1,1,89,89
323 Entertainment,Other,2005,1,1,100,100
335 Records,Other,1976,1,1,21,21
3CG Records,Warner,1997,1,1,99,99
3qtr,Other,2019,1,1,-59,-59
4 Men With Beards,Other,1967,1,1,99,99
4 Men With Beards,Other,1991,1,1,75,75
429 Records,Other,1971,1,1,-4,-4
45 Tours Memories,Other,1967,1,1,99,99
4AD,Other,2007,1,1,33,33
4AD,Other,2009,1,2,11,44
4AD,Other,2010,1,2,98,142
4AD,Other,2011,1,2,82,224
4AD,Other,2012,2,3,156,347
4PF,Other,2020,1,1,43,43
4PF,Other,2021,1,1,93,136
4th & B’way,Other,1988,1,1,51,51
4th Column,Other,1990,1,1,26,26
4worlds Media,Other,1987,1,1,41,41
4º Azul,Other,2005,1,1,-64,-64
5 Star Entertainment,Other,2014,1,1,97,97
5020 Records,Other,1999,1,1,100,100
550 Music,Sony,1982,1,1,100,100
550 Music,Sony,1995,2,2,167,167
550 Music,Sony,1996,2,4,169,336
550 Music,Sony,1997,2,5,127,463
550 Music,Sony,1998,1,5,94,557
550 Music,Sony,1999,2,5,162,719
600 Ent.,Other,2023,1,1,4,4
601 Music,Other,1979,1,1,100,100
604 Records,Sony,2002,1,1,16,16
604 Records,Sony,2005,1,1,43,59
604 Records,Sony,2008,1,1,75,118
604 Records,Sony,2011,1,1,93,168
604 Records,Sony,2012,1,2,100,268
702 Records,Other,1974,1,1,-4,-4
737 Productions,Other,1975,1,1,-73,-73
777 Was 666,Other,1998,1,1,98,98
7A Records,Other,1968,1,1,99,99
7T’s,Other,1970,1,1,98,98
7T’s,Other,1971,2,3,176,274
7T’s,Other,1972,1,3,95,369
7T’s,Other,1973,2,5,192,561
7T’s,Other,1974,1,6,100,661
7T’s,Other,1977,1,4,74,366
7T’s,Other,1979,1,2,-44,30
808 MAFIA,Other,2010,1,1,95,95
88rising,Other,2018,1,1,98,98
88rising,Other,2019,1,1,32,130
88rising,Other,2020,1,1,33,163
88rising,Other,2022,1,1,93,256
8ft. Records,Other,2012,1,1,91,91
90/9,Other,1990,1,1,80,80
99 Records,Other,1974,1,1,-4,-4
A Colourful Storm,Other,1979,1,1,79,79
A Perfect Circle Entertainment,Other,2000,1,1,97,97
A Play Collection,Other,1969,1,1,97,97
A Play Collection,Other,1970,1,2,98,195
A Play Collection,Other,2010,1,1,100,100
A Private Collection,Other,1975,1,1,98,98
A$AP Worldwide,Other,2013,1,1,100,100
A$AP Worldwide,Other,2016,1,2,88,188
A$AP Worldwide,Other,2017,1,2,95,283
A&M PM,Other,1991,1,1,96,96
A&M Records,Universal,1965,2,2,192,192
A&M Records,Universal,1966,1,3,92,284
A&M Records,Universal,1967,2,4,154,438
A&M Records,Universal,1968,4,7,117,555
A&M Records,Universal,1969,4,9,160,715
A&M Records,Universal,1970,5,10,345,868
A&M Records,Universal,1971,7,14,275,1051
A&M Records,Universal,1972,4,15,44,941
A&M Records,Universal,1973,6,18,239,1063
A&M Records,Universal,1974,6,19,451,1354
A&M Records,Universal,1975,10,21,478,1487
A&M Records,Universal,1976,5,18,204,1416
A&M Records,Universal,1977,5,17,474,1846
A&M Records,Universal,1978,4,16,232,1839
A&M Records,Universal,1979,5,15,452,1840
A&M Records,Universal,1980,3,13,214,1576
A&M Records,Universal,1981,1,11,74,1446
A&M Records,Universal,1982,5,12,387,1359
A&M Records,Universal,1983,6,13,339,1466
A&M Records,Universal,1984,6,13,313,1327
A&M Records,Universal,1985,7,16,552,1665
A&M Records,Universal,1986,5,16,380,1971
A&M Records,Universal,1987,3,14,176,1760
A&M Records,Universal,1988,5,16,373,1794
A&M Records,Universal,1989,2,16,120,1601
A&M Records,Universal,1990,2,14,59,1108
A&M Records,Universal,1991,5,13,325,1053
A&M Records,Universal,1992,2,12,167,1044
A&M Records,Universal,1993,2,9,105,776
A&M Records,Universal,1994,3,9,292,948
A&M Records,Universal,1995,2,9,184,1073
A&M Records,Universal,1996,1,7,50,798
A&M Records,Universal,1999,2,5,108,342
A&M Records,Universal,2000,2,5,192,350
A&M Records,Universal,2002,2,6,189,489
A&M Records,Universal,2003,1,7,95,584
A&M Records,Universal,2004,2,7,40,516
A&M Records,Universal,2005,2,6,194,518
A&M Records,Universal,2006,5,9,388,906
A&M Records,Universal,2007,1,7,94,811
A&M Records,Universal,2008,2,8,176,892
A&M Records,Universal,2009,1,8,93,945
A&M/Octone Records,Other,2003,1,1,95,95
A&M/Octone Records,Other,2008,1,1,79,79
A&M/Octone Records,Other,2009,2,2,165,244
A&M/Octone Records,Other,2011,1,2,97,341
A+,Other,1985,1,1,100,100
A.D.D. Records,Other,1979,1,1,79,79
A.F.O. Records,Other,1961,1,1,98,98
A1 Recordings,Other,2012,1,1,93,93
A1 Recordings,Other,2013,1,1,46,139
A1 Recordings,Other,2015,1,1,89,228
A1 Recordings,Other,2016,1,1,83,311
A1 Recordings,Other,2017,1,1,96,314
A45 Music,Other,2002,1,1,92,92
ABC Command Quadraphonic,Other,1973,2,2,-8,-8
ABC Command Quadraphonic,Other,1974,2,2,190,182
ABC Dot,Other,1975,1,1,100,100
ABC Music,Other,1975,1,1,-73,-73
ABC Records,Universal,1962,1,1,100,100
ABC Records,Universal,1965,1,2,100,200
ABC Records,Universal,1968,3,4,106,206
ABC Records,Universal,1969,2,6,6,212
ABC Records,Universal,1970,1,5,75,187
ABC Records,Universal,1971,1,5,76,263
ABC Records,Universal,1972,2,6,143,406
ABC Records,Universal,1973,3,5,22,322
ABC Records,Universal,1974,5,5,333,649
ABC Records,Universal,1975,2,6,61,635
ABC Records,Universal,1976,1,6,28,587
ABC Records,Universal,1977,4,9,64,508
ABC Records,Universal,1978,2,9,68,554
ABC-Paramount,Other,1958,4,4,303,303
ABC-Paramount,Other,1959,3,5,250,553
ABC-Paramount,Other,1961,1,6,94,647
ABC-Paramount,Other,1962,1,7,100,747
ABC-Paramount,Other,1963,1,6,92,536
ABC-Paramount,Other,1971,1,1,45,45
ABC-Paramount,Other,1972,1,2,-87,-42
ABC-Paramount,Other,1974,1,2,92,50
ABC-Paramount,Other,2006,1,1,92,92
ABKCO,Other,1959,1,1,63,63
ABKCO,Other,1963,1,2,100,163
ABKCO,Other,1966,1,2,100,200
ABKCO,Other,1967,2,4,194,394
ABM,Other,1961,1,1,92,92
ABR Records,Other,2011,1,1,90,90
ABS-CBN Film Productions,Other,1969,1,1,97,97
ADA France,Warner,1997,1,1,40,40
ADA France,Warner,2001,1,1,78,118
ADA France,Warner,2005,1,1,3,81
ADA France,Warner,2007,1,1,-68,-65
ADA Sound Ltd.,Other,1970,1,1,92,92
ADTR Records,Other,2013,1,1,64,64
ADTR Records,Other,2016,1,1,99,163
AFM Records,Other,1982,1,1,100,100
AFRTS,Other,1969,1,1,94,94
AFRTS,Other,1973,2,3,19,113
AFRTS,Other,1975,1,3,98,117
AGAT Company Ltd.,Other,1989,2,2,136,136
AGAT Company Ltd.,Other,2001,1,1,98,98
AIM,Other,1964,1,1,96,96
AJM Records,Other,2002,1,1,100,100
AJR Productions,Other,2017,1,1,40,40
AJR Productions,Other,2018,1,1,1,41
AJR Productions,Other,2019,1,1,93,134
AJR Productions,Other,2020,1,1,93,227
ALES Music,Other,2004,1,1,86,86
AM:PM,Other,1986,1,1,100,100
AM:PM,Other,1991,1,1,96,96
AMG,Other,1976,1,1,98,98
AMIGA,Other,1969,1,1,-61,-61
AMIGA,Other,1970,2,3,185,124
AMIGA,Other,1971,1,4,99,223
AMIGA,Other,1973,1,5,18,241
AMIGA,Other,1975,3,5,127,244
AMIGA,Other,1979,1,4,100,227
AMIGA,Other,1980,1,2,100,200
AMIGA,Other,1986,1,1,52,52
AMIGA,Other,1988,2,3,148,200
AMT,Other,1969,1,1,92,92
ANGRY DINO,Other,1965,1,1,99,99
ANGRY DINO,Other,1974,1,1,14,14
ANGRY DINO,Other,1992,1,1,95,95
ANS Records,Other,1975,1,1,95,95
AOI Records,Other,1989,1,1,86,86
AOI Records,Other,1991,1,1,75,161
AOI Records,Other,1993,1,1,61,222
AOI Records,Other,1996,1,1,88,149
AOI Records,Other,2000,1,1,92,180
AP Music Ltd.,Other,1959,1,1,89,89
APT,Other,1958,1,1,100,100
ARC,Other,1971,1,1,-71,-71
ARC Music,Other,1972,2,2,155,155
ARC Records,Other,1963,1,1,94,94
ARC Records,Other,1965,2,3,173,267
ARC Records,Other,1966,1,4,100,367
ARC Records,Other,1969,1,4,97,370
ARC Records,Other,1972,1,2,79,176
ARC Records,Other,1975,2,3,200,279
ARK 21,Other,1987,1,1,98,98
ARK 21,Other,1990,1,2,96,194
ARM,Other,1970,1,1,98,98
ARS,Other,1992,1,1,95,95
ARS Entertainment,Universal,1989,2,2,198,198
ARS Entertainment,Universal,1990,1,3,32,230
ARS Productions,Other,1967,1,1,89,89
ARS Productions,Other,1989,1,1,99,99
ARS Productions,Other,1991,1,2,100,199
ARS Records,Other,1989,1,1,99,99
ARY,Other,1993,1,1,98,98
AS FAR AS I CAN SPIN RECORDS,Other,2007,1,1,95,95
ATCO Records,Other,1958,2,2,192,192
ATCO Records,Other,1961,1,3,97,289
ATCO Records,Other,1962,1,4,98,387
ATCO Records,Other,1963,1,3,40,235
ATCO Records,Other,1965,2,5,200,435
ATCO Records,Other,1966,2,6,194,532
ATCO Records,Other,1967,5,9,437,871
ATCO Records,Other,1968,2,10,193,1024
ATCO Records,Other,1969,2,12,199,1223
ATCO Records,Other,1970,3,13,248,1271
ATCO Records,Other,1972,2,8,125,765
ATCO Records,Other,1974,3,7,87,460
ATCO Records,Other,1976,1,5,70,282
ATCO Records,Other,1977,5,7,236,393
ATCO Records,Other,1978,1,7,-12,381
ATCO Records,Other,1979,1,5,84,378
ATCO Records,Other,1980,3,6,285,663
ATCO Records,Other,1981,1,7,100,693
ATCO Records,Other,1983,2,6,155,624
ATCO Records,Other,1984,1,6,49,589
ATCO Records,Other,1987,1,3,78,282
ATCO Records,Other,1988,1,2,44,171
ATCO Records,Other,1990,1,1,100,222
ATCO Records,Other,1992,1,2,57,201
ATCO Records,Other,2007,1,1,5,5
ATG,Other,2002,1,1,98,98
ATILA,Other,1959,1,1,96,96
ATO Records,Other,2000,1,1,66,66
ATO Records,Other,2002,1,1,84,150
ATO Records,Other,2003,1,2,-20,130
ATO Records,Other,2005,2,2,119,183
ATO Records,Other,2007,1,2,5,104
ATO Records,Other,2008,1,2,92,216
ATO Records,Other,2012,1,2,95,187
AUGUSTA RECORDS,Other,1974,1,1,14,14
AVM,Other,1965,1,1,95,95
AVROTROS,Other,1974,1,1,14,14
AWAL Recordings,Other,2023,1,1,83,83
AWAL Recordings,Other,2024,1,2,95,178
AWAL Recordings,Other,2025,1,2,97,275
AWAL Recordings Ltd,Other,2023,1,1,83,83
AWGE,Universal,2017,1,1,89,89
AWGE,Universal,2018,1,1,98,187
AZ,Other,2010,1,1,99,99
AZ,Other,2011,1,2,90,189
Abbey Road Interactive,Other,1995,1,1,13,13
Abnak,Other,1967,1,1,96,96
Abner,Other,1959,1,1,81,81
Abracadabra,Other,1967,1,1,93,93
Abril Music,Other,2000,1,1,-74,-74
Acadia,Other,1968,1,1,99,99
Acadia,Other,1982,1,1,93,93
Acadia,Other,1989,1,1,95,95
Ace,Other,1960,1,1,99,99
Ace,Other,1962,1,2,97,196
Ace,Other,1963,2,4,196,392
Ace,Other,1966,1,4,92,385
Ace,Other,1968,1,2,-91,1
Ace,Other,1971,2,2,135,44
Ace,Other,1973,1,2,0,135
Ace Records,Other,1959,1,1,96,96
Ace of Clubs,Other,1995,1,1,29,29
Acheron,Other,1983,1,1,100,100
Acme,Other,1991,1,1,86,86
Acoustic Legends Records,Other,1972,1,1,79,79
Acrobat,Other,2017,1,1,77,77
Acrobat Music,Other,1960,1,1,100,100
Acrobat Music,Other,1971,1,1,93,93
Acta,Other,1967,1,1,96,96
Acta,Other,1972,1,1,100,100
Action Replay Records,Other,1983,1,1,93,93
Activar Hazlotumismx,Other,2012,1,1,99,99
Addiction Records,Other,2001,1,1,91,91
Adeline Records,Other,2003,1,1,96,96
Aderra,Other,1985,1,1,14,14
Admit One Records,Other,1971,1,1,5,5
Adult Records,Other,1971,1,1,99,99
Advance Music,Other,2005,1,1,83,83
Aegean,Other,1987,1,1,100,100
Aerosmith P&D – Geffen,Other,1973,1,1,80,80
Aerosmith P&D – Sony,Other,1973,1,1,80,80
Aerosmith P&D – Sony,Other,1974,1,1,27,107
Aerosmith P&D – Sony,Other,1975,1,1,90,197
Aerosmith P&D – Sony,Other,1976,1,1,98,295
Afidno,Other,1969,1,1,94,94
Aftermath Entertainment,Universal,1993,1,1,98,98
Aftermath Entertainment,Universal,1999,1,1,99,99
Aftermath Entertainment,Universal,2000,1,1,97,196
Aftermath Entertainment,Universal,2002,3,4,276,472
Aftermath Entertainment,Universal,2003,1,4,100,572
Aftermath Entertainment,Universal,2004,1,5,97,570
Aftermath Entertainment,Universal,2005,1,4,100,573
Aftermath Entertainment,Universal,2018,1,1,90,90
Aftermath Entertainment,Universal,2019,1,1,97,187
Aftermath Records,Other,2002,1,1,96,96
Agencja Artystyczna MTJ,Other,2014,1,1,62,62
Agent Blonde,Other,2005,1,1,96,96
Aim Records,Other,1958,1,1,94,94
Air Mail Archive,Other,1966,1,1,96,96
Air Mail Archive,Other,1974,1,1,-56,-56
Air Mail Archive,Other,1976,1,1,91,35
Akarma,Other,1966,1,1,96,96
Alamo Records,Sony,2019,1,1,91,91
Alamo Records,Sony,2020,1,2,28,119
Albert Productions,Sony,1977,1,1,-53,-53
Albert Productions,Sony,1978,2,2,82,29
Albert Productions,Sony,1979,1,2,84,113
Albert Productions,Sony,1980,1,2,97,210
Alberts,Other,1977,1,1,-53,-53
Alcopop! Records,Other,1977,1,1,97,97
Alegra,Other,1967,1,1,99,99
Alegra,Other,1973,1,1,98,98
Alegra,Other,1974,1,1,94,192
Alfa,Other,1967,1,1,89,89
Alfa,Other,1982,1,1,91,91
Alfa,Other,1987,1,1,66,66
Alfa,Other,1988,1,2,48,114
Alfa,Other,1990,1,2,94,208
Alive Naturalsound Records,Other,1996,1,1,59,59
All Around the World,Other,1974,1,1,100,100
All Around the World,Other,1997,1,1,99,99
All Around the World,Other,2005,1,1,91,91
All Evergreen Records,Other,1970,1,1,97,97
All Star Production,Other,2005,1,1,-64,-64
All Time Records,Other,1961,1,1,97,97
All We Got Ent.,Other,2018,1,1,91,91
All-American,Other,1967,1,1,100,100
Allegro Corporation,Other,1978,1,1,100,100
Alliance Records,Other,1995,1,1,29,29
Allido Records,Other,2007,1,1,-28,-28
Allido Records,Other,2009,1,2,80,52
Alligator,Other,1963,1,1,96,96
Alligator,Other,1991,1,1,86,86
Alligator Records,Warner,1991,1,1,86,86
Almighty Records,Other,1970,1,1,98,98
Almighty Records,Other,1976,1,1,100,100
Almighty Records,Other,1982,1,1,72,72
Almighty Records,Other,1985,1,2,84,156
Almighty Records,Other,2008,1,1,98,98
Almo Sounds,Universal,1995,1,1,81,81
Almo Sounds,Universal,1998,1,1,88,169
Almo Sounds,Universal,2001,1,1,88,176
Almost Country Records,Other,1996,1,1,59,59
Alola,Other,2012,1,1,10,10
Alpha Records,Other,1988,1,1,98,98
Alston Records,Other,1971,1,1,95,95
Altanta International Records,Other,2005,1,1,96,96
Altaya,Other,1960,2,2,148,148
Altaya,Other,1961,1,3,95,243
Altaya,Other,1963,1,4,37,280
Altaya,Other,1966,1,2,100,137
Altaya,Other,1970,1,2,98,198
Altaya,Other,1971,1,2,-17,81
Altaya,Other,1975,1,1,100,83
Alternation,Other,1983,1,1,93,93
Alternative Distribution Alliance,Other,2001,1,1,78,78
Alternative Distribution Alliance,Other,2007,1,1,-68,-68
Alternative Edge Productions,Other,1975,1,1,98,98
Altissimo! Recordings,Other,2017,1,1,77,77
Altra Moda Music,Other,2000,1,1,93,93
Alvorada,Other,1980,1,1,97,97
Amadeo,Other,1965,1,1,51,51
Amalgam Entertainment,Other,2003,1,1,93,93
Amaru Entertainment,Other,1992,1,1,37,37
Amaru Entertainment,Other,1996,1,2,100,137
Amaru Entertainment,Other,2003,1,1,32,32
Amaru Records,Other,1992,1,1,37,37
Amaru Records,Other,1995,1,1,100,137
Amazon Content Services,Other,1974,1,1,89,89
Amazon Content Services,Other,2006,1,1,96,96
Ambassade Records,Other,2011,1,1,59,59
Ambush Records,Other,2014,1,1,62,62
American Beat Records,Other,1976,1,1,25,25
American Beat Records,Other,1980,1,2,60,85
American Dogwood,Other,2024,1,1,100,100
American Gramaphone,Other,1968,1,1,99,99
American Gramaphone,Other,1984,1,1,51,51
American Gramaphone,Other,1987,1,1,-17,34
American Gramaphone,Other,1988,1,1,65,99
American Gramaphone,Other,1990,1,1,24,72
American Gramaphone,Other,1995,1,1,98,98
American Greetings,Other,2008,1,1,92,92
American Legends / IODA,Other,1968,1,1,96,96
American Pie,Other,1968,1,1,96,96
American Pie,Other,1971,1,2,80,176
American Pie,Other,1985,1,1,92,92
American Recordings,Sony,1963,1,1,84,84
American Recordings,Sony,1986,1,1,7,7
American Recordings,Sony,1988,1,1,44,51
American Recordings,Sony,1990,2,2,158,209
American Recordings,Sony,1994,1,2,93,251
American Recordings,Sony,1999,1,1,-12,-12
American Recordings,Sony,2001,1,1,100,88
American Recordings,Sony,2009,1,1,85,85
American Recordings,Sony,2010,1,1,50,135
American Recordings,Sony,2012,1,1,97,232
American Tapes,Other,2017,1,1,77,77
Amherst Records,Other,1987,1,1,89,89
Amherst Records,Other,1988,1,1,33,122
Amusement Records,Universal,2024,1,1,99,99
Amy,Other,1963,1,1,91,91
Amy Grant Productions,Other,1985,1,1,66,66
Amy Grant Productions,Other,1988,1,1,30,96
Amy Grant Productions,Other,1991,1,1,91,121
An Naer produksion,Other,1995,1,1,29,29
Anaconda,Other,2001,1,1,-64,-64
Anaconda Productions,Other,2014,1,1,62,62
Anagram Records,Other,1989,1,1,21,21
Analog Spark,Other,1977,1,1,88,88
Analogue Productions,Other,1962,1,1,87,87
Analogue Productions,Other,1963,1,1,94,181
Analogue Productions,Other,1967,1,2,99,193
Analogue Productions,Other,1968,3,4,247,346
Analogue Productions,Other,1969,3,6,281,627
Analogue Productions,Other,1970,1,6,90,717
Analogue Productions,Other,1971,3,8,248,965
Analogue Productions,Other,1972,2,8,144,1010
Analogue Productions,Other,1973,5,11,380,1143
Analogue Productions,Other,1974,7,14,454,1316
Analogue Productions,Other,1975,1,15,97,1323
Analogue Productions,Other,1976,1,13,70,1145
Analogue Productions,Other,1977,2,13,170,1171
Analogue Productions,Other,1981,3,4,246,416
Analogue Productions,Other,1983,2,5,126,372
Analogue Productions,Other,1985,2,5,134,506
Analogue Productions,Other,1987,1,3,98,358
Analogue Productions,Other,1989,2,3,136,368
Analogue Productions,Other,1990,1,4,94,328
Analogue Productions,Other,1991,2,4,182,510
Analogue Productions,Other,1992,1,4,-66,346
Analogue Productions,Other,1993,1,5,98,444
Analogue Productions,Other,1994,3,8,297,605
Analogue Productions,Other,2002,1,1,100,100
Analogue Productions,Other,2003,1,2,95,195
Anchor Records,Other,1975,1,1,98,98
Andrew Records,Other,1967,1,1,100,100
Angel Air,Other,1980,1,1,-68,-68
Angel Records,Universal,2004,1,1,45,45
Anglo Atlantic,Other,1973,1,1,80,80
Anglo Atlantic,Other,1984,1,1,58,58
Aniplex,Sony,1967,1,1,89,89
Anjunabeats,Other,2011,1,1,-62,-62
Anjunabeats,Other,2014,1,1,31,-31
Anjunabeats,Other,2015,1,1,67,36
Anjunabeats,Other,2018,1,1,98,196
Antelope Records,Other,1972,1,1,-87,-87
Antelope Records,Other,1974,1,1,92,5
Antena Krzyku,Other,1969,1,1,92,92
Anthem Legacy,Other,1980,1,1,97,97
Anthem Records,Other,1975,1,1,-12,-12
Anthem Records,Other,1976,1,1,40,28
Anthem Records,Other,1977,1,1,68,96
Anthem Records,Other,1978,1,1,54,150
Anthem Records,Other,1980,1,1,97,259
Anthology,Other,1966,1,1,100,100
Anti‐,Other,1975,1,1,-63,-63
Anti‐,Other,1976,1,1,12,-51
Anti‐,Other,1977,1,1,-12,-63
Anti‐,Other,1978,1,1,-80,-143
Anti‐,Other,1980,1,1,5,-75
Anti‐,Other,1996,1,1,59,59
Anti‐,Other,1999,1,2,71,130
Anti‐,Other,2002,1,1,69,140
Anti‐,Other,2004,1,1,73,142
Anti‐,Other,2006,2,2,74,216
Anti‐,Other,2007,1,3,91,238
Anti‐,Other,2009,2,3,136,301
Anti‐,Other,2011,1,3,95,322
Antler-Subway,Other,2004,1,1,99,99
Anxious Records,Other,1991,1,1,100,100
Apex,Other,1958,1,1,99,99
Aphilliates,Other,2011,1,1,59,59
Apple Music,Other,2025,1,1,94,94
Apple Orchard Music,Other,2012,1,1,94,94
Apple Records,Other,1964,1,1,100,100
Apple Records,Other,1967,1,1,100,200
Apple Records,Other,1968,1,2,99,299
Apple Records,Other,1969,3,5,129,328
Apple Records,Other,1970,4,8,373,701
Apple Records,Other,1971,4,12,210,911
Apple Records,Other,1972,1,11,91,902
Apple Records,Other,1973,3,10,90,893
Apple Records,Other,1974,1,9,100,864
Apple Records,Other,1980,1,1,100,100
April Orchestra,Other,1973,1,1,-30,-30
Aptly Named Recordings,Other,2013,1,1,85,85
Aptly Named Recordings,Other,2015,1,1,92,177
Aquarius,Other,1970,1,1,78,78
Aquarius Records,Other,1984,1,1,94,94
Aquarius Records,Other,2001,1,1,88,88
Aquarius Records,Other,2002,1,1,69,157
Aquarius Records,Other,2004,1,1,91,248
Aquemini Records,Other,2003,1,1,91,91
Aramis,Other,1988,1,1,48,48
Arcade,Other,1969,1,1,-26,-26
Arcade,Other,1978,1,1,92,92
Architecture,Other,2003,1,1,4,4
Archives Records & Tapes,Other,1970,1,1,46,46
Archives Records & Tapes,Other,1971,1,1,31,77
Archives Records & Tapes,Other,1973,1,1,100,177
Ardent Records,Other,2001,1,1,-40,-40
Ardent Records,Other,2003,1,1,-78,-118
Ardent Records,Other,2006,1,1,46,-32
Ardent Records,Other,2009,1,1,99,145
Areito,Other,1982,1,1,38,38
Argo,Other,1962,1,1,97,97
Argo,Other,1965,1,2,96,193
Ariola,Other,1958,1,1,99,99
Ariola,Other,1967,1,1,97,97
Ariola,Other,1971,2,3,37,134
Ariola,Other,1973,1,3,88,125
Ariola,Other,1976,1,2,100,188
Ariola,Other,1977,2,4,154,342
Ariola,Other,1978,1,4,94,348
Ariola,Other,1981,1,4,-3,245
Ariola,Other,1983,2,3,130,127
Ariola,Other,1986,1,2,100,230
Ariola,Other,1990,1,2,99,199
Ariola,Other,1997,1,1,94,94
Ariola,Other,1999,1,2,100,194
Ariola Benelux B.V.,Other,1961,1,1,97,97
Ariola Express,Other,1967,3,3,294,294
Ariola Express,Other,1968,3,6,292,586
Ariola Express,Other,1969,1,7,45,631
Ariola Express,Other,1972,1,5,-87,250
Ariola Express,Other,1974,1,1,92,5
Ariola Express,Other,1975,1,2,100,105
Ariola Express,Other,1978,1,3,92,284
Ariola Express,Other,1982,1,2,92,184
Ariola Express,Other,1984,1,2,98,190
Ariola Express,Other,1989,1,1,100,100
Ariola Hansa,Other,2006,1,1,92,92
Ariola Power World,Other,1982,1,1,42,42
Ariola Records America,Other,1976,1,1,100,100
Ariola Records America,Other,1979,1,2,100,200
Arista,Other,1967,3,3,276,276
Arista,Other,1968,1,4,84,360
Arista,Other,1970,2,6,197,557
Arista,Other,1971,1,7,71,628
Arista,Other,1972,2,6,-14,338
Arista,Other,1974,3,8,168,422
Arista,Other,1975,4,9,365,590
Arista,Other,1976,2,9,190,709
Arista,Other,1977,3,10,212,935
