big_3_affiliation,year,#_of_connected_artists,#_of_connected_artists_rolling5,total_power_of_connected_artists,total_power_of_connected_artists_rolling5
Sony,2007,15,63,1075,6037
Universal,2007,32,126,2531,13271
Warner,2007,26,90,1784,8499
Other,2008,66,305,4842,28713
Sony,2008,11,60,921,5925
Universal,2008,24,126,2023,13028
Warner,2008,19,95,1142,8683
Other,2009,95,313,6527,29413
Sony,2009,22,63,1499,5764
Universal,2009,33,132,2801,13605
Warner,2009,28,93,2252,9493
Other,2010,73,304,5227,28948
Sony,2010,16,66,1198,6135
Universal,2010,30,130,2233,13522
Warner,2010,20,89,1382,8468
Other,2011,73,282,5339,27830
Sony,2011,19,64,1400,6093
Universal,2011,34,121,2704,12292
Warner,2011,16,83,997,7557
Other,2012,80,279,6156,28091
Sony,2012,18,64,1566,6584
Universal,2012,32,127,2667,12428
Warner,2012,14,76,981,6754
Other,2013,61,279,5484,28733
Sony,2013,11,68,1045,6708
Universal,2013,32,133,2861,13266
Warner,2013,15,75,1320,6932
Other,2014,81,287,6835,29041
Sony,2014,14,65,1266,6475
Universal,2014,23,128,1904,12369
Warner,2014,21,69,1729,6409
Other,2015,55,274,4083,27897
Sony,2015,14,67,1266,6543
Universal,2015,18,115,1571,11707
Warner,2015,16,62,1374,6401
Other,2016,56,254,4536,27094
Sony,2016,9,60,775,5918
Universal,2016,22,102,1692,10695
Warner,2016,14,61,1199,6603
Other,2017,61,235,5096,26034
Sony,2017,11,50,837,5189
Universal,2017,22,94,1631,9659
Warner,2017,15,63,1007,6629
Other,2018,61,219,5280,25830
Sony,2018,7,45,504,4648
Universal,2018,29,87,2545,9343
Warner,2018,17,62,1431,6740
Other,2019,48,191,3692,22687
Sony,2019,4,35,370,3752
Universal,2019,17,82,1425,8864
Warner,2019,7,49,569,5580
Other,2020,43,183,3469,22073
Sony,2020,8,29,602,3088
Universal,2020,14,83,1097,8390
Warner,2020,12,46,969,5175
Other,2021,23,163,1793,19330
Sony,2021,2,24,40,2353
Universal,2021,10,75,864,7562
Warner,2021,6,43,460,4436
Other,2022,26,146,1945,16179
Sony,2022,3,19,278,1794
Universal,2022,10,71,721,6652
Warner,2022,7,39,566,3995
Other,2023,30,125,2223,13122
Sony,2023,3,16,44,1334
Universal,2023,14,57,1181,5288
Warner,2023,4,30,392,2956
Other,2024,20,105,1878,11308
Sony,2024,2,15,186,1150
Universal,2024,7,43,667,4530
Warner,2024,5,29,375,2762
Other,2025,10,78,966,8805
Sony,2025,2,9,194,742
Universal,2025,6,34,582,4015
Warner,2025,7,23,671,2464
Other,2026,1,63,91,7103
