performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks,tags,genre_tags_musicbrainz,first_year_on_chart_songs,first_year_top_20_songs,first_year_top_10_songs,first_year_num1_songs,first_year_on_chart_albums,first_year_top_20_albums,first_year_top_10_albums,first_year_num1_albums,aggregate_labels,first_top_10_hit_song_genre_tags,first_top_10_hit_album_genre_tags,genre_tags_through_first_top_10_hit,top_10_hit_song_in_first_year_on_charts,top_10_hit_album_in_first_year_on_charts,top_10_hit_album_or_song_in_first_year_on_charts,years_before_first_top_10_hit_song,years_before_first_top_10_hit_album,years_before_first_top_10_hit_song_or_album,top_10_1hit_wonder_song,top_10_1hit_wonder_album,top_10_hitmaker_songs,top_10_hitmaker_albums,musicbrainz_artist_id,degree_centrality_top10_yearly,degree_centrality_firstsong_yearly,degree_centrality_top10_rolling10,degree_centrality_firstsong_rolling10,degree_centrality_top10_cumulative,degree_centrality_firstsong_cumulative,closeness_centrality_top10_yearly,closeness_centrality_firstsong_yearly,closeness_centrality_top10_rolling10,closeness_centrality_firstsong_rolling10,closeness_centrality_top10_cumulative,closeness_centrality_firstsong_cumulative,harmonic_closeness_centrality_top10_yearly,harmonic_closeness_centrality_firstsong_yearly,harmonic_closeness_centrality_top10_rolling10,harmonic_closeness_centrality_firstsong_rolling10,harmonic_closeness_centrality_top10_cumulative,harmonic_closeness_centrality_firstsong_cumulative,betweenness_centrality_top10_yearly,betweenness_centrality_firstsong_yearly,betweenness_centrality_top10_rolling10,betweenness_centrality_firstsong_rolling10,betweenness_centrality_top10_cumulative,betweenness_centrality_firstsong_cumulative,eigenvector_centrality_top10_yearly,eigenvector_centrality_firstsong_yearly,eigenvector_centrality_top10_rolling10,eigenvector_centrality_firstsong_rolling10,eigenvector_centrality_top10_cumulative,eigenvector_centrality_firstsong_cumulative
21 savage,21 Savage,2016.0,2025.0,2016.0,2025.0,2016-2025,10,108,8,2,4,17,7,30,7,59,8,Rockstar,1,Sneakin',28,14,729,I Am > I Was,1,Savage Mode,23,69,638,"trap, hip hop, gangsta rap, southern hip hop, pop rap, mumble rap","trap, hip hop, gangsta rap, southern hip hop, pop rap",2016.0,2017.0,2017.0,2017.0,2016.0,2017.0,2017.0,2019.0,"Boominati Worldwide, Epic, Republic Records, Slaughter Gang, Capitol Records","hip hop, euro house",,"hip hop, trap, euro house",False,False,False,1.0,1.0,1.0,False,False,True,True,1277206.0,0.0045135406218655,0.0021834061135371,0.0014855445091989,0.0006072382803011,0.000752053685063,0.0003053062221408,0.098551468358564,0.0765780239751531,0.142188166252098,0.1077870992151616,0.1520591645928372,0.1223942044320493,225.21349206349188,154.80129870129838,1404.0197302697434,971.5948680404516,2869.5257427213396,2120.0477869138667,0.0031872831016081,0.0007267951572263,0.0008755008560212,8.368339809750618e-05,0.0002738254153443,5.184132804922494e-05,0.0710884263637158,0.0002293937870607,0.0240103491673542,0.0008543216709672,4.778113881010688e-06,5.2997816518630104e-08
24kgoldn,24kGoldn,2019.0,2020.0,2020.0,2021.0,2019-2021,3,2,2,1,0,1,0,1,0,1,1,Mood,1,Valentino,92,1,53,El Dorado,22,Dropped Outta College,122,7,23,"trap, hip hop, english, cloud rap, lo-fi hip hop, rap, 2020s, pop rap","trap, hip hop, cloud rap, lo-fi hip hop, pop rap",2019.0,2020.0,2020.0,2020.0,2020.0,,,,"Columbia, Effective Records, RECORDS",,,,False,False,False,1.0,,1.0,True,False,False,False,1851042.0,0.0067543547813722,0.000821692686935,0.0019111758281761,0.0001982160555004,0.0010181818181818,0.0001032684463262,0.1148528314006224,0.0641900120447339,0.1792203688071436,0.1266249537977953,0.1782268181687357,0.1310634778877414,379.5642857142829,168.84274891774814,2170.6890082140103,1363.730042180067,4005.1443213645703,2684.392803640241,0.0493864053109582,0.0010041115029883,0.0020942677405843,7.176843633780268e-05,0.000589552786392,4.079524894331813e-05,0.0002186363303688,3.2279286272922096e-05,0.0169399107335119,0.0002205214574775,4.69296244092547e-05,6.68019202904925e-08
2pac,2Pac,1993.0,2008.0,1992.0,2007.0,1992-2008,14,16,16,1,4,2,8,5,9,8,11,How Do U Want It/California Love,1,I Get Around,11,25,250,Me Against The World,1,2Pacalypse Now,64,23,1063,"gangsta rap, west coast hip hop, hip hop, political hip hop, conscious hip hop, g-funk, 90s, death by murder, pop rap","gangsta rap, west coast hip hop, hip hop, political hip hop, conscious hip hop, g-funk, pop rap",1993.0,1993.0,1995.0,1996.0,1992.0,1995.0,1995.0,1995.0,"Atlantic, Interscope Records, TNT Recordings, Amaru Entertainment, Amaru Records, BMG Japan, Death Row Records",,,hip hop,False,False,False,2.0,3.0,3.0,False,False,True,True,2418574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 doors down,3 Doors Down,2000.0,2011.0,2000.0,2016.0,2000-2016,10,10,8,0,2,3,5,5,6,6,7,Kryptonite,3,Kryptonite,3,53,268,Seventeen Days,1,The Better Life,7,93,368,"alternative rock, post-grunge, pop rock, hard rock, acoustic rock, southern rock, rock, alternative metal, vyrzukhisuc-artiest, 2000s","alternative rock, post-grunge, pop rock, hard rock, acoustic rock, southern rock, rock, alternative metal",2000.0,2000.0,2000.0,,2000.0,2000.0,2000.0,2005.0,"Republic Records, Universal Records, Universal Republic Records, BMG Direct, Universal Motown",,alternative rock,alternative rock,True,True,True,0.0,0.0,0.0,False,False,True,True,1763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38 special,38 Special,1980.0,1991.0,1980.0,1991.0,1980-1991,5,7,4,0,0,1,1,1,2,6,2,Caught Up In You,10,Rockin' Into The Night,43,9,91,Special Forces,10,Rockin' Into The Night,57,19,125,"southern rock, hard rock, blues rock, arena rock, aor, pop rock, rock, 2008 universal fire victim, classic rock, 1980s","southern rock, hard rock, blues rock, arena rock, aor, pop rock, rock, classic rock",1980.0,1982.0,1982.0,,1980.0,1981.0,1982.0,,"A&M Records, Collectables, Rock Candy",southern rock,,southern rock,False,False,False,2.0,2.0,2.0,True,True,False,False,49819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3oh!3,3OH!3,2008.0,2012.0,2008.0,2016.0,2008-2016,7,12,4,0,0,3,1,3,1,4,2,Don't Trust Me,7,Don't Trust Me,7,37,101,Streets Of Gold,7,Want,44,51,64,"electronic, synth-pop, electropop, crunkcore, pop rock, alternative dance, pop, electronic rock, 2010s","electronic, synth-pop, electropop, crunkcore, pop rock, alternative dance, pop, electronic rock",2008.0,2008.0,2008.0,,2008.0,2010.0,2010.0,,Photo Finish Records,,,,True,False,True,0.0,2.0,0.0,False,True,True,False,489045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 dugg,42 Dugg,2020.0,2022.0,2020.0,2024.0,2020-2024,4,9,4,0,0,1,2,1,2,3,2,We Paid,10,We Paid,10,22,68,Last Ones Left,7,"Young & Turnt, Vol. 2",58,5,59,"detroit trap, hip hop, hardcore hip hop, 2020s, 42 dugg, trap, detroit","detroit trap, hip hop, hardcore hip hop, trap",2020.0,2020.0,2020.0,,2020.0,2021.0,2021.0,,"Quality Control Music, Universal, 4PF, CMG, New CMG Records P&D",,,,True,False,True,0.0,1.0,0.0,True,False,False,True,1879374.0,0.0017774617845716,0.0017774617845716,0.0008190753549326,0.0008190753549326,0.0004363636363636,0.0004363636363636,0.0815799581327369,0.0815799581327369,0.139777107256633,0.139777107256633,0.1406888510034622,0.1406888510034622,260.5089826839803,260.5089826839803,1669.2847513598035,1669.2847513598035,3103.016937839399,3103.016937839399,0.0007285661622855,0.0007285661622855,0.0020882941580129,0.0020882941580129,0.0003336081058842,0.0003336081058842,1.2227021531473413e-07,1.2227021531473413e-07,0.0006394357860581,0.0006394357860581,4.103367086894024e-07,4.103367086894024e-07
4batz,4Batz,2024.0,2024.0,2024.0,2024.0,2024-2024,1,2,1,0,0,1,0,1,0,1,1,Act II: Date @ 8,7,Act II: Date @ 8,7,20,29,U Made Me A St4r,30,U Made Me A St4r,30,4,4,"alternative r&b, trap soul","alternative r&b, trap soul",2024.0,2024.0,2024.0,,2024.0,,,,OVO Sound,,,,True,False,True,0.0,,0.0,True,False,False,False,2678383.0,0.0008361204013377,0.0008361204013377,0.0001516875237011,0.0001516875237011,8.0460232530072e-05,8.0460232530072e-05,0.0248632332058136,0.0248632332058136,0.1660346097070998,0.1660346097070998,0.1667866582040545,0.1667866582040545,66.78019473646452,66.78019473646452,2354.3496614497217,2354.3496614497217,4434.328376400203,4434.328376400203,0.0004719663621523,0.0004719663621523,0.0,0.0,0.0,0.0,9.991438236270622e-11,9.991438236270622e-11,0.0012298623075617,0.0012298623075617,6.015506513756253e-06,6.015506513756253e-06
4pm,4PM,1994.0,1994.0,1995.0,1995.0,1994-1995,2,1,1,0,0,1,0,1,0,1,0,Sukiyaki,8,Sukiyaki,8,32,32,Now's The Time,126,Now's The Time,126,9,9,,,1994.0,1994.0,1994.0,,1995.0,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seconds of summer,5 Seconds Of Summer,2014.0,2022.0,2014.0,2025.0,2014-2025,8,15,8,0,3,1,7,2,8,9,8,Youngblood,7,Amnesia,16,20,143,5 Seconds Of Summer,1,5 Seconds Of Summer,1,66,188,"pop rock, pop punk, teen pop, pop, 2010s, power pop","pop rock, pop punk, teen pop, pop, power pop",2014.0,2014.0,2018.0,,2014.0,2014.0,2014.0,2014.0,"Capitol Records, Capitol Records UK, Hi or Hey Records, Universal Music",,,,False,True,True,4.0,0.0,0.0,True,False,False,True,981199.0,0.0004464285714285,0.0006357279084551,0.0002134016218523,0.0001356300013563,0.0001093972213105,6.760411032990806e-05,0.0425644440478721,0.0006357279084551,0.1180849470876026,0.0001356300013563,0.1296690664728114,6.760411032990806e-05,100.78141327626668,1.0,1185.601591872196,1.0,2486.8091525691943,1.0,0.0,0.0,7.7908215941946e-05,0.0,4.474835859436115e-05,0.0,1.4236594235738077e-08,9.278085578357086e-28,0.0002104466014543,5.202092991181895e-70,6.457910000791104e-08,3.1402717888946782e-77
50 cent,50 Cent,2002.0,2020.0,2003.0,2017.0,2002-2020,15,39,8,4,2,12,6,17,6,26,7,21 Questions,1,Wanksta,13,20,509,Get Rich Or Die Tryin',1,Get Rich Or Die Tryin',1,268,422,"hip hop, east coast hip hop, gangsta rap, rap, pop rap, hardcore hip hop","hip hop, east coast hip hop, gangsta rap, pop rap, hardcore hip hop",2002.0,2002.0,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,"Aftermath Entertainment, Interscope Records, Shady Records, G Unit, ChopNotSlop Ent.",,"hip hop, gangsta rap","hip hop, gangsta rap",False,True,False,1.0,0.0,1.0,False,False,True,True,20544.0,0.0049079754601227,0.0012121212121212,0.0010044194455604,0.0004108463434675,0.0005438920918089,0.0002257336343115,0.0144234380868911,0.0012121212121212,0.0767703795531635,0.0004108463434675,0.10973936671005,0.0002257336343115,15.678571428571423,1.0,427.8804084803997,2.0,1066.2915839062157,2.0,0.0002115614778191,0.0,0.0002903963316053,4.110151728669545e-07,0.0001962574074518,0.0,3.4866223347165905e-15,8.973536355089765e-33,5.354610351216221e-07,2.4477609583333862e-92,2.8999098943129032e-08,2.3888263379660943e-66
50 cent feat. mobb deep,50 Cent Feat. Mobb Deep,2005.0,2005.0,,,2005-2005,1,1,0,0,0,1,0,1,0,1,0,Outta Control (Remix),6,Outta Control (Remix),6,19,19,,0,,0,0,0,,,2005.0,2005.0,2005.0,,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69 boyz,69 Boyz,1994.0,1998.0,1994.0,1998.0,1994-1998,4,5,2,0,0,1,0,1,0,2,0,Tootsee Roll,8,Tootsee Roll,8,38,95,Nineteen Ninety Quad,59,Nineteen Ninety Quad,59,60,64,"hip hop, southern hip hop, miami bass","hip hop, southern hip hop, miami bass",1994.0,1994.0,1994.0,,1994.0,,,,"Lil’ Joe Records, Rip-It Records",,,,True,False,True,0.0,,0.0,True,False,False,False,35324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ix9ine,6ix9ine,2017.0,2022.0,2018.0,2020.0,2017-2022,6,20,3,1,0,3,3,4,3,13,3,Trollz,1,Gummo,12,20,139,DUMMY BOY,2,DUMMY BOY,2,26,69,"hip hop, trap, drill, 2010s, east coast hip hop, hardcore hip hop","hip hop, trap, drill, east coast hip hop, hardcore hip hop",2017.0,2017.0,2018.0,2020.0,2018.0,2018.0,2018.0,,"Strainge Entertainment, Scumgang Records, 10K Projects, Create Music Group, Hostess Entertainment Unlimited",,hip hop,hip hop,False,True,False,1.0,0.0,1.0,False,False,True,True,1603703.0,0.0062499999999999,0.0005015045135406,0.0016005121638924,0.0001142726545537,0.0008204791598293,5.785028346638898e-05,0.088830965323782,0.0005015045135406,0.1509805757041236,0.0001142726545537,0.1583732734657456,5.785028346638898e-05,232.3690587190568,1.0,1583.7236763237236,1.0,3159.562614183039,1.0,0.0234762565102479,0.0,0.0011794024155919,0.0,0.0004625504437433,0.0,0.0147794842884413,1.0565641750909216e-19,0.0154204846932763,1.136380068334033e-40,5.157887266614676e-06,2.76806188546247e-76
6lack,6LACK,2017.0,2021.0,2016.0,2023.0,2016-2023,6,7,4,0,0,1,1,2,2,2,4,Calling My Phone,3,Prblms,72,8,56,East Atlanta Love Letter,3,FREE 6LACK,34,73,106,"hip hop, hip hop soul, pop soul, contemporary r&b, 2010s, alternative r&b, trap soul","hip hop, hip hop soul, pop soul, contemporary r&b, alternative r&b, trap soul",2017.0,2021.0,2021.0,,2016.0,2018.0,2018.0,,"RCA, Alamo Records, Geffen Records, Columbia, Interscope Records, LVRN",hip hop,,r&b,False,False,False,4.0,2.0,2.0,True,True,False,False,1206587.0,0.0017018379850238,0.0005015045135406,0.0026890756302521,0.0003428179636612,0.001460653642505,0.0001735508503991,0.0518567627987549,0.0011462960309499,0.181030128422589,0.1261945867545664,0.1979193693765694,0.1431721581508923,167.8989538239531,2.5,2390.105699855762,1207.7874902874978,4678.6672627205435,2630.397784568436,0.0042498447752587,0.0,0.0025868196448889,4.937415189844032e-05,0.0045459300185777,2.280120449425969e-05,2.7194069850413324e-08,3.952515525603956e-16,0.0057106672426498,0.0016770971661589,0.0003310249528378,9.62610786452181e-07
702,702,1996.0,1999.0,1997.0,2003.0,1996-2003,4,4,3,0,0,2,0,2,0,4,2,Where My Girls At?,4,Steelo,32,20,94,702,34,No Doubt,82,30,54,contemporary r&b,contemporary r&b,1996.0,1997.0,1997.0,,1997.0,,,,"Biv 10 Records, Biv Ten Records, Motown",,,,False,False,False,1.0,,1.0,False,False,True,False,479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98 degrees,98 Degrees,1997.0,2000.0,1997.0,2013.0,1997-2013,6,8,6,1,0,4,1,6,2,8,3,Thank God I Found You,1,Invisible Man,12,28,155,Revelation,2,98 Degrees,145,9,126,,,1997.0,1997.0,1998.0,,1997.0,1998.0,2000.0,,,,,,False,False,False,1.0,3.0,1.0,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
? (question mark),? (Question Mark),1966.0,1967.0,,,1966-1967,2,4,0,1,0,1,0,1,0,2,0,96 Tears,1,96 Tears,1,15,33,,0,,0,0,0,,,1966.0,1966.0,1966.0,1966.0,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a flock of seagulls,A Flock Of Seagulls,1982.0,1984.0,1982.0,1984.0,1982-1984,3,4,3,0,0,1,1,1,2,3,2,I Ran (So Far Away),9,I Ran (So Far Away),9,22,63,A Flock Of Seagulls,10,A Flock Of Seagulls,10,50,83,"new wave, new romantic, synth-pop, 1980s, dance-pop, dance-rock, synthpop, silly name, post-punk","new wave, new romantic, synth-pop, dance-pop, dance-rock, post-punk",1982.0,1982.0,1982.0,,1982.0,1982.0,1982.0,,"August Day, Cleopatra Records, Jive, Alfa, Arista, BMG",,,,True,True,True,0.0,0.0,0.0,True,True,False,False,2860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a great big world,A Great Big World,2013.0,2015.0,2014.0,2015.0,2013-2015,3,2,2,0,0,1,1,1,1,1,1,Say Something,4,Say Something,4,26,28,Is There Anybody Out There?,3,Is There Anybody Out There?,3,17,18,"indie pop, pop rock, indie-pop","indie pop, pop rock",2013.0,2013.0,2013.0,,2014.0,2014.0,2014.0,,"Epic, Black Magnetic",,,,True,True,True,0.0,0.0,0.0,True,True,False,False,996953.0,0.000684462696783,0.000684462696783,0.0001444251877527,0.0001444251877527,7.109341674960899e-05,7.109341674960899e-05,0.0262514082087584,0.0262514082087584,0.0997625539497032,0.0997625539497032,0.1239712675780633,0.1239712675780633,42.963888888888945,42.963888888888945,755.022644022649,755.022644022649,1845.4241619020304,1845.4241619020304,0.0,0.0,0.0,0.0,0.0,0.0,0.0004572833831918,0.0004572833831918,1.983007180888506e-06,1.983007180888506e-06,7.407500746210902e-08,7.407500746210902e-08
a taste of honey,A Taste Of Honey,1978.0,1982.0,1978.0,1982.0,1978-1982,5,4,4,1,0,2,1,2,1,3,2,Boogie Oogie Oogie,1,Boogie Oogie Oogie,1,23,61,A Taste Of Honey,6,A Taste Of Honey,6,27,84,"70s, 80s, funk, soul, disco, 1970s, dance-pop, quiet storm, boogie, pop soul","funk, soul, disco, dance-pop, quiet storm, boogie, pop soul",1978.0,1978.0,1978.0,1978.0,1978.0,1978.0,1978.0,,"Capitol Records, Big Break Records",,,,True,True,True,0.0,0.0,0.0,False,True,True,False,34126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a$ap rocky,A$AP Rocky,2012.0,2026.0,2013.0,2026.0,2012-2026,11,33,5,0,3,3,4,3,4,7,5,No Limit,4,F**kin Problems,8,27,167,Long.Live.A$AP,1,Long.Live.A$AP,1,106,207,"hip hop, east coast hip hop, cloud rap, experimental hip hop, pop rap, hardcore hip hop, trap","hip hop, east coast hip hop, cloud rap, experimental hip hop, pop rap, hardcore hip hop, trap",2012.0,2012.0,2012.0,,2013.0,2013.0,2013.0,2013.0,"A$AP Worldwide, Polo Grounds Music, RCA",,,,True,True,True,0.0,0.0,0.0,False,False,True,True,838288.0,0.0035739814152966,0.0035739814152966,0.00077065351418,0.00077065351418,0.0003743916136278,0.0003743916136278,0.055268243439887,0.055268243439887,0.1070667986393402,0.1070667986393402,0.1302237242092581,0.1302237242092581,93.03571428571448,93.03571428571448,774.4148629148593,774.4148629148593,1850.4266196223632,1850.4266196223632,0.0023820453918209,0.0023820453918209,0.001406957586973,0.001406957586973,0.0001119824662169,0.0001119824662169,0.0371711322216073,0.0371711322216073,3.465782655106031e-06,3.465782655106031e-06,2.3731542229196717e-07,2.3731542229196717e-07
