performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks,tags,genre_tags_musicbrainz,first_year_on_chart_songs,first_year_top_20_songs,first_year_top_10_songs,first_year_num1_songs,first_year_on_chart_albums,first_year_top_20_albums,first_year_top_10_albums,first_year_num1_albums,aggregate_labels,first_top_10_hit_song_genre_tags,first_top_10_hit_album_genre_tags,genre_tags_through_first_top_10_hit,top_10_hit_song_in_first_year_on_charts,top_10_hit_album_in_first_year_on_charts,top_10_hit_album_or_song_in_first_year_on_charts,years_before_first_top_10_hit_song,years_before_first_top_10_hit_album,years_before_first_top_10_hit_song_or_album,top_10_1hit_wonder_song,top_10_1hit_wonder_album,top_10_hitmaker_songs,top_10_hitmaker_albums
a boogie wit da hoodie,A Boogie Wit da Hoodie,2016.0,2025.0,2016.0,2024.0,2016-2025,10,35,9,0,1,0,4,0,5,8,6,Numbers,23,My Sh*t,86,12,203,Hoodie SZN,1,TBA (EP),63,11,315,"hip hop, trap, rap, 2010s, emo rap, 2020s, english, r&b","hip hop, trap, emo rap, r&b",2016.0,,,,2016.0,2017.0,2017.0,2019.0,"Atlantic, Highbridge the Label",,,,False,False,False,,1,1,False,False,False,True
a day to remember,A Day To Remember,2019.0,2019.0,2009.0,2025.0,2009-2025,7,1,6,0,0,0,1,0,3,0,5,Rescue Me,92,Rescue Me,92,1,1,Bad Vibrations,2,Homesick,21,21,60,"metalcore, pop punk, easycore, post-hardcore, hardcore, emo pop, alternative rock, pop rock","metalcore, pop punk, easycore, post-hardcore, emo pop, alternative rock, pop rock",2019.0,,,,2009.0,2010.0,2016.0,,"Craft Recordings, Victory Records, ADTR Records, [no label]",,,"metalcore, post-hardcore",False,False,False,,7,7,False,True,False,False
a flock of seagulls,A Flock Of Seagulls,1982.0,1984.0,1982.0,1984.0,1982-1984,3,4,3,0,0,1,1,1,2,3,2,I Ran (So Far Away),9,I Ran (So Far Away),9,22,63,A Flock Of Seagulls,10,A Flock Of Seagulls,10,50,83,"new wave, new romantic, synth-pop, 1980s, dance-pop, dance-rock, synthpop, silly name, post-punk","new wave, new romantic, synth-pop, dance-pop, dance-rock, post-punk",1982.0,1982.0,1982.0,,1982.0,1982.0,1982.0,,"August Day, Cleopatra Records, Jive, Alfa, Arista, BMG",,,,True,True,True,0,0,0,True,True,False,False
a great big world,A Great Big World,2013.0,2015.0,2014.0,2015.0,2013-2015,3,2,2,0,0,1,1,1,1,1,1,Say Something,4,Say Something,4,26,28,Is There Anybody Out There?,3,Is There Anybody Out There?,3,17,18,"indie pop, pop rock, indie-pop","indie pop, pop rock",2013.0,2013.0,2013.0,,2014.0,2014.0,2014.0,,"Epic, Black Magnetic",,,,True,True,True,0,0,0,True,True,False,False
a perfect circle,A Perfect Circle,2003.0,2004.0,2000.0,2018.0,2000-2018,5,2,6,0,0,0,4,0,4,0,5,Weak And Powerless,61,Weak And Powerless,61,18,23,Thirteenth Step,2,Mer De Noms,4,51,119,"alternative rock, progressive rock, art rock","alternative rock, progressive rock, art rock",2003.0,,,,2000.0,2000.0,2000.0,,"A Perfect Circle Entertainment, Virgin, Virgin Music Canada",,,,False,True,True,,0,0,False,False,False,True
a taste of honey,A Taste Of Honey,1978.0,1982.0,1978.0,1982.0,1978-1982,5,4,4,1,0,2,1,2,1,3,2,Boogie Oogie Oogie,1,Boogie Oogie Oogie,1,23,61,A Taste Of Honey,6,A Taste Of Honey,6,27,84,"70s, 80s, funk, soul, disco, 1970s, dance-pop, quiet storm, boogie, pop soul","funk, soul, disco, dance-pop, quiet storm, boogie, pop soul",1978.0,1978.0,1978.0,1978.0,1978.0,1978.0,1978.0,,"Capitol Records, Big Break Records",,,,True,True,True,0,0,0,False,True,True,False
a tribe called quest,A Tribe Called Quest,1992.0,2016.0,1990.0,2016.0,1990-2016,10,5,8,0,2,0,4,0,4,1,5,Award Tour,47,Scenario,57,15,50,"Beats, Rhymes And Life",1,People's Instinctive Travels & The Paths Of Rhythm,91,20,150,"hip hop, jazz rap, east coast hip hop, alternative hip hop, conscious hip hop, boom bap","hip hop, jazz rap, east coast hip hop, alternative hip hop, conscious hip hop, boom bap",1992.0,,,,1990.0,1993.0,1993.0,1996.0,"BMG, BMG Direct Marketing, Inc., Jive, BMG Japan",,hip hop,hip hop,False,False,False,,3,3,False,False,False,True
a$ap ferg,A$AP Ferg,2013.0,2021.0,2013.0,2020.0,2013-2021,6,7,5,0,0,0,2,1,3,2,4,Move Ya Hips,19,Work,100,2,35,Always Strive And Prosper,8,Trap Lord,9,6,58,,,2013.0,2020.0,,,2013.0,2013.0,2013.0,,,,,,False,True,True,,0,0,False,False,False,True
a$ap mob,A$AP Mob,,,2016.0,2017.0,2016-2017,2,0,2,0,0,0,1,0,2,0,2,,0,,0,0,0,"Cozy Tapes, Vol. 2: Too Cozy",6,"Cozy Tapes, Vol. 1: Friends",13,8,21,"hip hop, east coast hip hop, trap, cloud rap","hip hop, east coast hip hop, trap, cloud rap",,,,,2016.0,2016.0,2017.0,,"A$AP Worldwide, Polo Grounds Music, RCA",,,,False,False,False,,1,1,False,True,False,False
a$ap rocky,A$AP Rocky,2012.0,2026.0,2013.0,2026.0,2012-2026,11,33,5,0,3,3,4,3,4,7,5,No Limit,4,F**kin Problems,8,27,167,Long.Live.A$AP,1,Long.Live.A$AP,1,106,207,"hip hop, east coast hip hop, cloud rap, experimental hip hop, pop rap, hardcore hip hop, trap","hip hop, east coast hip hop, cloud rap, experimental hip hop, pop rap, hardcore hip hop, trap",2012.0,2012.0,2012.0,,2013.0,2013.0,2013.0,2013.0,"A$AP Worldwide, Polo Grounds Music, RCA",,,,True,True,True,0,0,0,False,False,True,True
aaliyah,Aaliyah,1994.0,2013.0,1994.0,2021.0,1994-2021,11,15,5,1,1,5,3,8,4,12,5,Try Again,1,Back & Forth,5,24,289,Aaliyah,1,Age Ain't Nothing But A Number,18,37,202,"pop, contemporary r&b, pop soul, r&b, hip hop, neo soul, 2000s, soul, 1990s, rock","pop, contemporary r&b, pop soul, r&b, hip hop, neo soul, soul, rock",1994.0,1994.0,1994.0,2000.0,1994.0,1994.0,1996.0,2001.0,"Blackground Enterprises, Jive, Atlantic, Blackground Entertainment","r&b, contemporary r&b, soul, pop, hip hop",r&b,"r&b, contemporary r&b, soul, pop, hip hop",True,False,True,0,2,0,False,False,True,True
aaron carter,Aaron Carter,2000.0,2001.0,2000.0,2002.0,2000-2002,3,2,3,0,0,0,2,0,3,1,3,Aaron's Party (Come Get It),35,Aaron's Party (Come Get It),35,15,17,Aaron's Party (Come Get It),4,Aaron's Party (Come Get It),4,67,117,"death by drowning, hip hop, 1990s, 2000s, pop, pop rap, teen pop, dance-pop","hip hop, pop, pop rap, teen pop, dance-pop",2000.0,,,,2000.0,2000.0,2000.0,,Jive,,,,False,True,True,,0,0,False,False,False,True
aaron lewis,Aaron Lewis,2011.0,2021.0,2011.0,2024.0,2011-2024,7,2,6,0,0,0,2,1,3,1,5,Am I The Only One,14,Country Boy,87,2,4,Sinner,4,Town Line (EP),7,23,44,"outlaw country, country, post-grunge, alternative metal, neo-traditional country, 2010s, rock, 2020s, nu metal","outlaw country, country, post-grunge, alternative metal, neo-traditional country, rock, nu metal",2011.0,2021.0,,,2011.0,2011.0,2011.0,,,,,,False,True,True,,0,0,False,False,False,True
aaron watson,Aaron Watson,,,2008.0,2019.0,2008-2019,6,0,6,0,0,0,1,0,2,0,2,,0,,0,0,0,Vaquero,10,Angels & Outlaws,175,1,10,"country, texas country, red dirt","country, texas country, red dirt",,,,,2008.0,2015.0,2017.0,,"BIG Label Records, Thirty Tigers, Big Label Records, LLC., HTK Records",,,,False,False,False,,9,9,False,True,False,False
abba,ABBA,1974.0,1982.0,1974.0,2021.0,1974-2021,13,20,14,1,0,4,1,10,5,15,9,Dancing Queen,1,Waterloo,6,17,261,Voyage,2,Waterloo,145,8,701,"heavy metal, hard rock, pop, disco, metal, traditional doom metal, proto doom, doom metal, europop, black metal","heavy metal, hard rock, pop, disco, metal, traditional doom metal, doom metal, europop, black metal",1974.0,1974.0,1974.0,1976.0,1974.0,1977.0,2021.0,,"Atlantic, Epic, Old Gold, 737 Productions, ABC Music, AMIGA, BMG Direct Marketing, Inc., Castle Classics, Artone, Dig It International, Polar, Astoria Records, Atlantic Oldies Series, Almighty Records, Chronicles, Polar Music International AB, UTV Records, Capitol Records, DHX Music, Enjoy the Toons Records",,,,True,False,True,0,47,0,False,True,True,False
above & beyond,Above & Beyond,,,2011.0,2018.0,2011-2018,4,0,4,0,0,0,1,0,1,0,2,,0,,0,0,0,Common Ground,3,Group Therapy,163,1,5,"trance, progressive trance, progressive house, vocal trance, dance and electronica, ambient trance, electronic, progressive electronic, 2010s","trance, progressive trance, progressive house, vocal trance, ambient trance, electronic, progressive electronic",,,,,2011.0,2018.0,2018.0,,"Anjunabeats, Group Therapy, Ultra Records, Central Station",,trance,trance,False,False,False,,7,7,False,True,False,False
ac/dc,AC/DC,1979.0,1993.0,1977.0,2020.0,1977-2020,24,7,26,0,3,0,10,0,14,5,18,Moneytalks,23,Highway To Hell,47,10,82,For Those About To Rock (We Salute You),1,Let There Be Rock,154,11,1308,"hard rock, rock, blues rock, rock and roll, classic rock, hard & heavy, switzerland, tribute, acdc, beatrixyoung","hard rock, rock, blues rock, rock and roll, classic rock",1979.0,,,,1977.0,1979.0,1980.0,1981.0,"ATCO Records, Albert Productions, Alberts, Atlantic, Alvorada",,"rock, hard rock","rock, hard rock",False,False,False,,3,3,False,False,False,True
ace frehley,Ace Frehley,1978.0,1978.0,1978.0,2024.0,1978-2024,9,1,9,0,0,0,1,1,1,1,6,New York Groove,13,New York Groove,13,21,21,Space Invader,9,Ace Frehley,26,23,69,"hard rock, blues rock, rock, classic rock, glam rock, 1970s, rock and roll","hard rock, blues rock, rock, classic rock, glam rock, rock and roll",1978.0,1978.0,,,1978.0,2014.0,2014.0,,"Casablanca Record and FilmWorks, Casablanca Records, Mercury Records, Bronx Born Records, Brookvale Records, Leader Music, MNRK Heavy, Shock, Steamhammer",,,,False,False,False,,36,36,False,True,False,False
ace hood,Ace Hood,2008.0,2013.0,2009.0,2013.0,2008-2013,4,5,3,0,0,0,2,0,2,2,3,Bugatti,33,Out Here Grindin,38,15,65,Trials & Tribulations,4,Ruthless,23,5,17,hip hop,hip hop,2008.0,,,,2009.0,2011.0,2011.0,,"Def Jam Recordings, IDJ, We the Best Music",,,,False,False,False,,2,3,False,False,False,True
ace of base,Ace Of Base,1993.0,1998.0,1993.0,1998.0,1993-1998,5,8,3,1,1,4,1,6,1,7,2,The Sign,1,All That She Wants,2,36,190,The Sign,1,The Sign,1,102,141,"pop, europop, eurodance, reggae, techno, synth-pop, 1990s, dance-pop, hi-nrg, euro house","pop, europop, eurodance, reggae, techno, synth-pop, dance-pop, hi-nrg, euro house",1993.0,1993.0,1993.0,1994.0,1993.0,1993.0,1993.0,1993.0,"Arista, Barclay, Edsel Records, BMG, BMG Direct Marketing, Inc.",,,,True,True,True,0,0,0,False,True,True,False
action bronson,Action Bronson,2015.0,2015.0,2013.0,2017.0,2013-2017,3,1,3,0,0,0,1,0,1,0,1,Baby Blue,91,Baby Blue,91,1,1,Mr. Wonderful,7,SAAAB STORIES Produced By Harry Fraud (EP),63,1,7,"hip hop, east coast hip hop","hip hop, east coast hip hop",2015.0,,,,2013.0,2015.0,2015.0,,"Atlantic, VICE Records",,,,False,False,False,,2,2,False,True,False,False
adam lambert,Adam Lambert,2009.0,2015.0,2009.0,2023.0,2009-2023,7,10,9,0,1,1,3,2,3,4,4,Whataya Want From Me,10,Mad World,19,3,78,Trespassing,1,For Your Entertainment,3,50,84,"pop, dance-pop, rock and roll, operatic pop, queer, pop soul, electronic rock, rock, hard rock, glam rock","pop, dance-pop, rock and roll, operatic pop, pop soul, electronic rock, rock, hard rock, glam rock",2009.0,2009.0,2010.0,,2009.0,2009.0,2009.0,2012.0,"RCA, 19 Recordings, Sony Music Japan International Inc., Sony Music, Sony Music Entertainment, RuffTown Records, Warner Bros. Records, More is More, LLC",,,"pop, rock, dance-pop, teen pop, jazz",False,True,True,1,0,0,True,False,False,True
addison rae,Addison Rae,2024.0,2025.0,2025.0,2025.0,2024-2025,2,3,1,0,0,0,1,0,1,0,1,Diet Pepsi,54,Diet Pepsi,54,20,28,Addison,4,Addison,4,7,7,"dance-pop, pop, teen pop, 2020s, gen z, trip hop, r&b, bubblegum pop","dance-pop, pop, teen pop, trip hop, r&b, bubblegum pop",2024.0,,,,2025.0,2025.0,2025.0,,"Atlantic, Columbia",,"pop, synth-pop, dance-pop, bubblegum pop","pop, synth-pop, dance-pop, bubblegum pop",False,True,False,,0,1,False,True,False,False
adele,Adele,2008.0,2021.0,2008.0,2021.0,2008-2021,8,25,6,5,3,8,4,11,4,19,5,Rolling In The Deep,1,Chasing Pavements,21,7,361,21,1,19,4,222,1134,"pop, soul, pop soul, blue-eyed soul, jazz, neo soul, vocal jazz, blues-pop, 2010s, r&b","pop, soul, pop soul, blue-eyed soul, jazz, neo soul, vocal jazz, r&b",2008.0,2010.0,2010.0,2010.0,2008.0,2008.0,2008.0,2011.0,"Various Production, XL Recordings, Columbia, High Note Records, Sony Music, Beggars Group, Beggars Japan",,,,False,True,True,2,0,0,False,False,True,True
aerosmith,Aerosmith,1973.0,2001.0,1973.0,2025.0,1973-2025,30,28,32,1,2,8,10,13,16,23,24,I Don't Want To Miss A Thing,1,Dream On,6,29,429,Get A Grip,1,Aerosmith,21,59,1287,"hard rock, blues rock, rock, classic rock, glam metal, aor, arena rock, rock and roll","hard rock, blues rock, rock, classic rock, glam metal, aor, arena rock, rock and roll",1973.0,1973.0,1973.0,1998.0,1973.0,1975.0,1976.0,1993.0,"Collectables, Columbia, Aerosmith P&D – Geffen, Aerosmith P&D – Sony, Anglo Atlantic, CBS, CBS/Sony",,,,True,False,True,0,3,0,False,False,True,True
aespa,aespa,,,2021.0,2025.0,2021-2025,5,0,7,0,0,0,2,0,4,0,7,,0,,0,0,0,Girls: The 2nd Mini Album (EP),3,Savage (EP),20,2,14,"k-pop, electropop, girl group, dance-pop, 2020s, ambient noise wall, pop, 4th gen k-pop, noise, experimental","k-pop, electropop, dance-pop, ambient noise wall, pop, noise, experimental",,,,,2021.0,2021.0,2022.0,,,,,,False,False,False,,1,1,False,False,False,True
