performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks
*nsync,*NSYNC,2023,2024,2014,2024,2014-2024,3,2,3,0,0,1,1,1,1,2,3,Bye Bye Bye,4,Better Place,25,6,30,Home For Christmas,7,The Essential *NSync,25,2,56
...and you will know us by the trail of dead,...And You Will Know Us By The Trail Of Dead,0,0,2005,2009,2005-2009,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Worlds Apart,81,Worlds Apart,81,1,3
070 shake,070 Shake,2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,0,0,1,0,Escapism,22,Escapism,22,23,23,,0,,0,0,0
1 of the girls,1 Of The Girls,1993,1993,0,0,1993-1993,1,1,0,0,0,0,0,0,0,0,0,Do Da What,74,Do Da What,74,4,4,,0,,0,0,0
1-1-six,1-1-Six,0,0,2011,2011,2011-2011,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Man Up,89,Man Up,89,1,1
10 years,10 Years,2006,2006,2005,2017,2005-2017,7,1,6,0,0,0,0,0,2,0,3,Wasteland,94,Wasteland,94,2,2,Division,12,The Autumn Effect,72,29,47
"10,000 maniacs","10,000 Maniacs",1988,1997,1987,1997,1987-1997,7,8,6,0,0,0,0,1,2,3,4,Because The Night,11,Like The Weather,68,8,97,Blind Man's Zoo,13,In My Tribe,37,77,230
100 gecs,100 gecs,0,0,2020,2023,2020-2023,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,"10,000 Gecs",59,1000 Gecs And The Tree Of Clue,198,1,2
100 proof aged in soul,100 Proof Aged in Soul,1969,1972,1970,1970,1969-1972,4,4,1,0,0,1,0,1,0,2,0,Somebody's Been Sleeping,8,Too Many Cooks (Spoil The Soup),94,2,29,Somebody's Been Sleeping In My Bed,151,Somebody's Been Sleeping In My Bed,151,7,7
100 strings,100 Strings,1960,1960,0,0,1960-1960,1,1,0,0,0,0,0,0,0,0,0,I Need You Now,98,I Need You Now,98,1,1,,0,,0,0,0
10cc,10cc,1973,1979,1974,1980,1973-1980,8,9,9,0,0,2,0,2,1,4,3,I'm Not In Love,2,Rubber Bullets,73,8,82,The Original Soundtrack,15,Sheet Music,81,14,106
112,112,1996,2005,1996,2017,1996-2017,10,15,6,1,0,4,2,8,3,12,5,I'll Be Missing You,1,Only You,13,28,307,Part III,2,112,37,55,177
12 gauge,12 Gauge,1994,1994,1994,1994,1994-1994,1,1,1,0,0,0,0,0,0,1,0,Dunkie Butt (Please Please Please),28,Dunkie Butt (Please Please Please),28,21,21,12 Gauge,141,12 Gauge,141,8,8
12 stones,12 Stones,0,0,2002,2012,2002-2012,5,0,5,0,0,0,0,0,0,0,1,,0,,0,0,0,Potter's Field,29,12 Stones,147,10,22
1910 fruitgum co.,1910 Fruitgum Co.,1968,1969,1968,1969,1968-1969,2,7,3,0,0,3,0,3,0,5,0,Simon Says,4,Simon Says,4,14,76,Indian Giver,147,Simon Says,162,8,28
1927,1927,1989,1989,0,0,1989-1989,1,1,0,0,0,0,0,0,0,0,0,That's When I Think Of You,100,That's When I Think Of You,100,1,1,,0,,0,0,0
2 chainz,"Drake, 2 Chainz & Kendrick Lamar",2012,2025,2012,2025,2012-2025,13,40,11,0,1,2,5,6,7,17,8,Talk Dirty,3,F**kin Problems,8,27,490,Based On A T.R.U. Story,1,Based On A T.R.U. Story,1,45,154
2 chainz x gucci mane x quavo,2 Chainz x Gucci Mane x Quavo,2017,2017,0,0,2017-2017,1,1,0,0,0,0,0,0,0,0,0,Good Drank,70,Good Drank,70,16,16,,0,,0,0,0
2 hyped brothers & a dog,2 Hyped Brothers & A Dog,1992,1992,0,0,1992-1992,1,1,0,0,0,0,0,0,0,0,0,Doo Doo Brown,90,Doo Doo Brown,90,5,5,,0,,0,0,0
2 in a room,2 In A Room,1990,1994,1990,1990,1990-1994,2,2,1,0,0,0,0,1,0,1,0,Wiggle It,15,Wiggle It,15,22,28,Wiggle It,151,Wiggle It,151,9,9
2 low,2 Low,0,0,1994,1994,1994-1994,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Funky Lil Brotha,176,Funky Lil Brotha,176,6,6
2 of clubs,2 Of Clubs,1967,1967,0,0,1967-1967,1,1,0,0,0,0,0,0,0,0,0,Walk Tall,92,Walk Tall,92,3,3,,0,,0,0,0
2 pistols,2 Pistols,2008,2008,2008,2008,2008-2008,1,1,1,0,0,0,0,0,0,1,1,She Got It,24,She Got It,24,20,20,Death Before Dishonor,32,Death Before Dishonor,32,4,4
2 unlimited,2 Unlimited,1992,1992,1992,1996,1992-1996,2,2,2,0,0,0,0,0,0,2,0,Get Ready For This,38,Get Ready For This,38,34,54,Hits Unlimited,107,Get Ready,197,1,9
20 fingers,20 Fingers,1994,1994,0,0,1994-1994,1,1,0,0,0,0,0,1,0,1,0,Short Dick Man,14,Short Dick Man,14,30,30,,0,,0,0,0
20/20,20/20,0,0,1979,1981,1979-1981,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Look Out,127,20/20,138,13,25
21 savage,21 Savage,2016,2025,2016,2025,2016-2025,10,108,8,2,4,17,7,30,7,59,8,Rockstar,1,Sneakin',28,14,729,I Am > I Was,1,Savage Mode,23,69,638
21 savage & baby tate,21 Savage & Baby Tate,2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,0,0,1,0,Surround Sound,40,Surround Sound,40,20,20,,0,,0,0,0
"21 savage & tyler, the creator","21 Savage & Tyler, The Creator",2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,0,0,1,0,Cash In Cash Out,26,Cash In Cash Out,26,7,7,,0,,0,0,0
"21 savage, travis scott & yak gotti","21 Savage, Travis Scott & Yak Gotti",2023,2023,0,0,2023-2023,1,1,0,0,0,0,0,0,0,0,0,Wit Da Racks,56,Wit Da Racks,56,1,1,,0,,0,0,0
213,213,0,0,2004,2004,2004-2004,1,0,1,0,0,0,1,0,1,0,1,,0,,0,0,0,The Hard Way,4,The Hard Way,4,13,13
21:03,21:03,0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Outsiders (EP),184,Outsiders (EP),184,1,1
24-7 spyz,24-7 SPYZ,0,0,1989,1990,1989-1990,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Harder Than You,113,Harder Than You,113,16,27
24kgoldn,24kGoldn,2019,2020,2020,2021,2019-2021,3,2,2,1,0,1,0,1,0,1,1,Mood,1,Valentino,92,1,53,El Dorado,22,Dropped Outta College,122,7,23
2am club,2AM Club,0,0,2010,2010,2010-2010,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,What Did You Think Was Going To Happen?,138,What Did You Think Was Going To Happen?,138,1,1
2cellos,2Cellos,2012,2012,2011,2015,2011-2015,4,1,3,0,0,0,0,0,0,1,0,Smooth Criminal,26,Smooth Criminal,26,2,2,2Cellos,85,2Cellos,85,3,5
2cellos/london symphony orchestra,2Cellos/London Symphony Orchestra,0,0,2017,2017,2017-2017,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Score,119,Score,119,1,1
2gether,2Gether,2000,2000,2000,2000,2000-2000,1,1,1,0,0,0,0,0,1,0,1,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),87,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),87,3,3,Again,15,Again,15,8,8
2nd ii none,2nd II None,1992,1992,1991,1999,1991-1999,3,2,2,0,0,0,0,0,0,0,0,If You Want It,64,If You Want It,64,16,18,2nd II None,83,2nd II None,83,34,35
2ne1,2NE1,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Crush,61,Crush,61,1,1
2nu,2nu,1990,1990,0,0,1990-1990,1,1,0,0,0,0,0,0,0,1,0,This Is Ponderous,46,This Is Ponderous,46,13,13,,0,,0,0,0
2pac,2Pac,1993,2008,1992,2007,1992-2008,14,16,16,1,4,2,8,5,9,8,11,How Do U Want It/California Love,1,I Get Around,11,25,250,Me Against The World,1,2Pacalypse Now,64,23,1063
2pac & johnny p,2Pac & Johnny P,1997,1997,0,0,1997-1997,1,1,0,0,0,0,0,1,0,1,0,Smile,12,Smile,12,19,19,,0,,0,0,0
2pac + outlawz,2Pac + Outlawz,2000,2000,2000,2000,2000-2000,1,1,1,0,0,0,1,0,1,0,1,Baby Don't Cry (Keep Ya Head Up II),72,Baby Don't Cry (Keep Ya Head Up II),72,7,7,Still I Rise,6,Still I Rise,6,20,20
2pac duet,2Pac Duet,1994,1994,0,0,1994-1994,1,1,0,0,0,0,0,0,0,0,0,Papa'z Song,87,Papa'z Song,87,2,2,,0,,0,0,0
2rare,2Rare,2023,2023,0,0,2023-2023,1,1,0,0,0,0,0,0,0,0,0,Do It Again,85,Do It Again,85,5,5,,0,,0,0,0
3,3,0,0,1988,1988,1988-1988,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,To The Power Of Three,97,To The Power Of Three,97,10,10
3 doors down,3 Doors Down,2000,2011,2000,2016,2000-2016,10,10,8,0,2,3,5,5,6,6,7,Kryptonite,3,Kryptonite,3,53,268,Seventeen Days,1,The Better Life,7,93,368
3 inches of blood,3 Inches Of Blood,0,0,2007,2009,2007-2009,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Fire Up The Blades,147,Fire Up The Blades,147,1,2
3 man island,3 Man Island,1988,1988,0,0,1988-1988,1,1,0,0,0,0,0,0,0,0,0,Jack The Lad,94,Jack The Lad,94,2,2,,0,,0,0,0
3 winans brothers,3 Winans Brothers,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Foreign Land,104,Foreign Land,104,1,1
30 secnds to mars,30 Secnds To Mars,0,0,2005,2005,2005-2005,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,A Beautiful Lie,36,A Beautiful Lie,36,74,74
30 seconds to mars,30 Seconds To Mars,2006,2007,2002,2002,2002-2007,3,2,1,0,0,0,0,0,0,0,0,The Kill (Bury Me),65,The Kill (Bury Me),65,20,28,30 Seconds To Mars,107,30 Seconds To Mars,107,4,4
310babii,310babii,2023,2024,0,0,2023-2024,2,2,0,0,0,0,0,0,0,0,0,Soak City,53,Soak City (Do It),68,3,22,,0,,0,0,0
311,311,2004,2004,1994,2024,1994-2024,17,1,17,0,0,0,10,0,12,0,12,Love Song,59,Love Song,59,20,20,Uplifter,3,Grassroots,193,1,206
33miles,33Miles,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,One Life,161,One Life,161,1,1
347aidan,347aidan,2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,0,0,0,0,Die Young,60,Die Young,60,5,5,,0,,0,0,0
36 crazyfists,36 Crazyfists,0,0,2008,2010,2008-2010,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,The Tide And Its Takers,155,The Tide And Its Takers,155,1,2
38 special,38 Special,1980,1991,1980,1991,1980-1991,5,7,4,0,0,1,1,1,2,6,2,Caught Up In You,10,Rockin' Into The Night,43,9,91,Special Forces,10,Rockin' Into The Night,57,19,125
3ballmty,3BallMTY,0,0,2012,2012,2012-2012,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Intentalo,126,Intentalo,126,5,5
3lw,3LW,2000,2002,2000,2002,2000-2002,3,4,2,0,0,0,0,0,1,1,2,No More (Baby I'ma Do Right),23,No More (Baby I'ma Do Right),23,25,66,A Girl Can Mack,15,3LW,29,40,46
3oh!3,3OH!3,2008,2012,2008,2016,2008-2016,7,12,4,0,0,3,1,3,1,4,2,Don't Trust Me,7,Don't Trust Me,7,37,101,Streets Of Gold,7,Want,44,51,64
3rd bass,3rd Bass,1991,1991,1989,1991,1989-1991,2,1,2,0,0,0,0,0,1,1,1,Pop Goes The Weasel,29,Pop Goes The Weasel,29,13,13,Derelicts Of Dialect,19,The Cactus Album,55,30,52
3rd party,3rd Party,1997,1997,0,0,1997-1997,1,2,0,0,0,0,0,0,0,1,0,Can U Feel It,43,Can U Feel It,43,20,31,,0,,0,0,0
3rd storee,3rd Storee,0,0,2002,2002,2002-2002,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Get With Me,91,Get With Me,91,5,5
3rd strike,3rd Strike,0,0,2002,2002,2002-2002,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Lost Angel,72,Lost Angel,72,8,8
3rdeyegirl,3RDEYEGIRL,0,0,2014,2014,2014-2014,1,0,1,0,0,0,1,0,1,0,1,,0,,0,0,0,PLECTRUMELECTRUM,8,PLECTRUMELECTRUM,8,4,4
3t,3T,1995,1995,1996,1996,1995-1996,2,1,1,0,0,0,0,1,0,1,0,Anything,15,Anything,15,33,33,Brotherhood,127,Brotherhood,127,15,15
3x krazy,3X Krazy,0,0,1997,1997,1997-1997,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Stackin Chips,136,Stackin Chips,136,4,4
4 by four,4 By Four,1987,1987,1987,1987,1987-1987,1,1,1,0,0,0,0,0,0,0,0,Want You For My Girlfriend,79,Want You For My Girlfriend,79,6,6,4 By Four,141,4 By Four,141,7,7
4 non blondes,4 Non Blondes,1993,1993,1993,1993,1993-1993,1,1,1,0,0,0,0,1,1,1,1,What's Up,14,What's Up,14,26,26,"Bigger, Better, Faster, More!",13,"Bigger, Better, Faster, More!",13,59,59
4 runner,4 Runner,0,0,1995,1995,1995-1995,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,4 Runner,144,4 Runner,144,5,5
4 the cause,4 The Cause,1998,1998,0,0,1998-1998,1,1,0,0,0,0,0,0,0,0,0,Stand By Me,82,Stand By Me,82,5,5,,0,,0,0,0
4*town (from disney,4*TOWN (From Disney,2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,0,0,1,0,Nobody Like U,49,Nobody Like U,49,5,5,,0,,0,0,0
4.0,4.0,1997,1997,0,0,1997-1997,1,1,0,0,0,0,0,0,0,1,0,Have A Little Mercy,46,Have A Little Mercy,46,20,20,,0,,0,0,0
40 cal.,40 Cal.,0,0,2007,2007,2007-2007,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Broken Safety 2,151,Broken Safety 2,151,1,1
40 thevz,40 Thevz,1997,1997,0,0,1997-1997,1,1,0,0,0,0,0,1,0,1,0,"C U When U Get There (From ""Nothing To Lose"")",12,"C U When U Get There (From ""Nothing To Lose"")",12,20,20,,0,,0,0,0
41,41,2024,2024,0,0,2024-2024,1,1,0,0,0,0,0,0,0,0,0,Or What?,52,Or What?,52,7,7,,0,,0,0,0
42 dugg,42 Dugg,2020,2022,2020,2024,2020-2024,4,9,4,0,0,1,2,1,2,3,2,We Paid,10,We Paid,10,22,68,Last Ones Left,7,"Young & Turnt, Vol. 2",58,5,59
49-ers,49-ers,1990,1990,0,0,1990-1990,1,1,0,0,0,0,0,0,0,0,0,Don't You Love Me,78,Don't You Love Me,78,9,9,,0,,0,0,0
4batz,4Batz,2024,2024,2024,2024,2024-2024,1,2,1,0,0,1,0,1,0,1,1,Act II: Date @ 8,7,Act II: Date @ 8,7,20,29,U Made Me A St4r,30,U Made Me A St4r,30,4,4
4him,4Him,0,0,1996,1999,1996-1999,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Obvious,95,Message,115,4,10
4pm,4PM,1994,1994,1995,1995,1994-1995,2,1,1,0,0,1,0,1,0,1,0,Sukiyaki,8,Sukiyaki,8,32,32,Now's The Time,126,Now's The Time,126,9,9
4troops,4TROOPS,0,0,2010,2010,2010-2010,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,4TROOPS,36,4TROOPS,36,6,6
5 satins,5 Satins,1959,1959,0,0,1959-1959,1,1,0,0,0,0,0,0,0,0,0,Shadows,87,Shadows,87,3,3,,0,,0,0,0
5 seconds of summer,5 Seconds Of Summer,2014,2022,2014,2025,2014-2025,8,15,8,0,3,1,7,2,8,9,8,Youngblood,7,Amnesia,16,20,143,5 Seconds Of Summer,1,5 Seconds Of Summer,1,66,188
5 special,5 Special,0,0,1979,1979,1979-1979,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Five Special,118,Five Special,118,11,11
5 stairsteps,5 Stairsteps,1967,1968,0,0,1967-1968,2,2,0,0,0,0,0,0,0,0,0,Something's Missing,88,Something's Missing,88,6,7,,0,,0,0,0
50 cent,50 Cent,2002,2020,2003,2017,2002-2020,15,39,8,4,2,12,6,17,6,26,7,21 Questions,1,Wanksta,13,20,509,Get Rich Or Die Tryin',1,Get Rich Or Die Tryin',1,268,422
50 cent feat. mobb deep,50 Cent Feat. Mobb Deep,2005,2005,0,0,2005-2005,1,1,0,0,0,1,0,1,0,1,0,Outta Control (Remix),6,Outta Control (Remix),6,19,19,,0,,0,0,0
5000 volts,5000 Volts,1975,1975,0,0,1975-1975,1,1,0,0,0,0,0,0,0,1,0,I'm On Fire,26,I'm On Fire,26,10,10,,0,,0,0,0
504 boyz,504 Boyz,2000,2000,2000,2002,2000-2002,2,1,2,0,0,0,1,1,1,1,2,Wobble Wobble,17,Wobble Wobble,17,18,18,Goodfellas,2,Goodfellas,2,26,35
54th platoon,54th Platoon,0,0,2003,2003,2003-2003,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,All Or N.O.thin,128,All Or N.O.thin,128,2,2
5th ward boyz,5th Ward Boyz,0,0,1993,1999,1993-1999,5,0,5,0,0,0,0,0,0,0,0,,0,,0,0,0,Ganksta Funk,105,Ghetto Dope,176,3,16
69 boyz,69 Boyz,1994,1998,1994,1998,1994-1998,4,5,2,0,0,1,0,1,0,2,0,Tootsee Roll,8,Tootsee Roll,8,38,95,Nineteen Ninety Quad,59,Nineteen Ninety Quad,59,60,64
6ix9ine,6ix9ine,2017,2022,2018,2020,2017-2022,6,20,3,1,0,3,3,4,3,13,3,Trollz,1,Gummo,12,20,139,DUMMY BOY,2,DUMMY BOY,2,26,69
6lack,6LACK,2017,2021,2016,2023,2016-2023,6,7,4,0,0,1,1,2,2,2,4,Calling My Phone,3,Prblms,72,8,56,East Atlanta Love Letter,3,FREE 6LACK,34,73,106
7 aurelius,7 Aurelius,2004,2004,0,0,2004-2004,1,1,0,0,0,0,0,0,0,1,0,Hush,26,Hush,26,18,18,,0,,0,0,0
7 mile,7 Mile,1998,1998,0,0,1998-1998,1,1,0,0,0,0,0,0,0,1,0,Do Your Thing,50,Do Your Thing,50,19,19,,0,,0,0,0
7 seconds,7 Seconds,0,0,1989,1989,1989-1989,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Soulforce Revolution,153,Soulforce Revolution,153,19,19
702,702,1996,1999,1997,2003,1996-2003,4,4,3,0,0,2,0,2,0,4,2,Where My Girls At?,4,Steelo,32,20,94,702,34,No Doubt,82,30,54
707,707,1980,1982,1981,1982,1980-1982,3,2,2,0,0,0,0,0,0,0,0,I Could Be Good For You,52,I Could Be Good For You,52,9,15,Mega Force,129,The Second Album,159,6,15
88rising,88rising,0,0,2018,2019,2018-2019,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Head In The Clouds,76,Head In The Clouds,76,1,2
8ball,8Ball & MJG,0,0,1994,2012,1994-2012,11,0,11,0,0,0,5,0,5,0,8,,0,,0,0,0,Living Legends,3,On The Outside Looking In,106,11,122
9.9,9.9,1985,1985,1985,1985,1985-1985,1,1,1,0,0,0,0,0,0,0,0,All Of Me For All Of You,51,All Of Me For All Of You,51,13,13,9.9,79,9.9,79,22,22
95 south,95 South,1993,1995,1993,1995,1993-1995,2,2,2,0,0,0,0,1,0,1,0,"Whoot, There It Is",11,"Whoot, There It Is",11,25,43,Quad City Knock,71,Quad City Knock,71,26,28
98 degrees,98 Degrees,1997,2000,1997,2013,1997-2013,6,8,6,1,0,4,1,6,2,8,3,Thank God I Found You,1,Invisible Man,12,28,155,Revelation,2,98 Degrees,145,9,126
99 percent,99 Percent,2017,2017,0,0,2017-2017,1,1,0,0,0,0,0,0,0,0,0,Cake,73,Cake,73,6,6,,0,,0,0,0
999,999,0,0,1980,1981,1980-1981,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,The Biggest Prize In Sport,177,The Biggest Prize In Sport,177,3,5
9lokknine,9lokknine,2019,2019,0,0,2019-2019,1,1,0,0,0,0,0,0,0,1,0,223's,34,223's,34,19,19,,0,,0,0,0
9th wonder,Murs And 9th Wonder,0,0,2006,2011,2006-2011,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,The Wonder Years,76,Murray's Revenge,166,1,4
? (question mark),? (Question Mark),1966,1967,0,0,1966-1967,2,4,0,1,0,1,0,1,0,2,0,96 Tears,1,96 Tears,1,15,33,,0,,0,0,0
a boogie wit da hoodie,A Boogie Wit da Hoodie,2016,2025,2016,2024,2016-2025,10,35,9,0,1,0,4,0,5,8,6,Numbers,23,My Sh*t,86,12,203,Hoodie SZN,1,TBA (EP),63,11,315
a boogie wit da hoodie & london on da track,A Boogie Wit da Hoodie & London On Da Track,2020,2020,0,0,2020-2020,1,1,0,0,0,0,0,0,0,0,0,DROP,71,DROP,71,1,1,,0,,0,0,0
a change of pace,A Change Of Pace,0,0,2006,2006,2006-2006,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Prepare The Masses,156,Prepare The Masses,156,1,1
a day to remember,A Day To Remember,2019,2019,2009,2025,2009-2025,7,1,6,0,0,0,1,0,3,0,5,Rescue Me,92,Rescue Me,92,1,1,Bad Vibrations,2,Homesick,21,21,60
a few good men,A Few Good Men,1996,1996,0,0,1996-1996,1,1,0,0,0,0,0,0,0,0,0,Have I Never,76,Have I Never,76,10,10,,0,,0,0,0
a fine frenzy,A Fine Frenzy,0,0,2007,2012,2007-2012,4,0,4,0,0,0,0,0,0,0,1,,0,,0,0,0,Bomb In A Birdcage,28,One Cell In The Sea,91,22,28
a firm handshake,A Firm Handshake,0,0,2013,2013,2013-2013,1,0,1,0,0,0,0,0,1,0,1,,0,,0,0,0,Fix Me Up (EP),20,Fix Me Up (EP),20,2,2
a flock of seagulls,A Flock Of Seagulls,1982,1984,1982,1984,1982-1984,3,4,3,0,0,1,1,1,2,3,2,I Ran (So Far Away),9,I Ran (So Far Away),9,22,63,A Flock Of Seagulls,10,A Flock Of Seagulls,10,50,83
