title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized,label,first_year_top_10_songs,first_top_10_hit,precedes_first_top_10_hit,tags,genre_tags_musicbrainz,top_10_1hit_wonder_song,top_10_hitmaker_song,musicbrainz_artist_id
No One Knows,Dion & The Belmonts,24,16,1958,,the belmonts,dion & the belmonts,Laurie Records,1959,False,True,"rock, rockabilly, blues rock, rock and roll, doo-wop, rock & roll","rock, rockabilly, blues rock, rock and roll, doo-wop",False,True,95042
No One Knows,Dion & The Belmonts,24,16,1958,,the belmonts,dion & the belmonts,Laurie Records,1959,False,True,"rock, rockabilly, blues rock, rock and roll, doo-wop, rock & roll","rock, rockabilly, blues rock, rock and roll, doo-wop",False,True,95042
No One Knows,Dion & The Belmonts,24,16,1958,,the belmonts,dion & the belmonts,Laurie Records,1959,False,True,"rock, rockabilly, blues rock, rock and roll, doo-wop, rock & roll","rock, rockabilly, blues rock, rock and roll, doo-wop",False,True,95042
No One Knows,Dion & The Belmonts,24,16,1958,,the belmonts,dion & the belmonts,Laurie Records,1959,False,True,"rock, rockabilly, blues rock, rock and roll, doo-wop, rock & roll","rock, rockabilly, blues rock, rock and roll, doo-wop",False,True,95042
A Letter To An Angel,Jimmy Clanton,25,12,1958,,jimmy clanton,,,1959,False,True,,,False,True,16173
Love You Most Of All,Sam Cooke,26,16,1958,,sam cooke,,Keen,1960,False,True,,,False,True,1344
She Was Only Seventeen (He Was One Year More),Marty Robbins,27,13,1958,,marty robbins,,Columbia,1959,False,True,"soundtrack, country",country,False,True,1745
Moon Talk,Perry Como,29,9,1958,,perry como,,,1970,False,True,,,True,False,10792
Angel Baby,Dean Martin,30,6,1958,,dean martin,,,1964,False,True,,,False,True,976
"Gee, But It's Lonely",Pat Boone,31,9,1958,,pat boone,,,1961,False,True,,,False,True,11465
Love Makes The World Go 'round,Perry Como,33,10,1958,,perry como,,,1970,False,True,,,True,False,10792
Win Your Love For Me,Sam Cooke,33,17,1958,,sam cooke,,Keen,1960,False,True,,,False,True,1344
I'll Remember Tonight,Pat Boone,34,11,1958,,pat boone,,,1961,False,True,,,False,True,11465
Dreamy Eyes,Johnny Tillotson,35,23,1958,,johnny tillotson,,,1960,False,True,,,False,True,42228
Betty Lou Got A New Pair Of Shoes,Bobby Freeman,37,9,1958,,bobby freeman,,"Josie Records, Maybellene",1964,False,True,"rock, rockabilly, rock and roll, rock roll, r&b, 1950s","rock, rockabilly, rock and roll, r&b",True,False,24110
A Part Of Me,Jimmy Clanton,38,7,1958,,jimmy clanton,,,1959,False,True,"swamp pop, 50s pop",swamp pop,False,True,16173
All Over Again,Johnny Cash,38,11,1958,,johnny cash,,Columbia,1969,False,True,,,True,False,387
Fibbin',Patti Page,39,9,1958,,patti page,,,1965,False,True,,,True,False,4324
That's How Much I Love You,Pat Boone,39,6,1958,,pat boone,,,1961,False,True,,,False,True,11465
Don't Pity Me,Dion & The Belmonts,40,12,1958,,dion,dion & the belmonts,,1959,False,True,,,False,True,647225
Don't Pity Me,Dion & The Belmonts,40,12,1958,,dion,dion & the belmonts,,1959,False,True,,,False,True,647225
Don't Pity Me,Dion & The Belmonts,40,12,1958,,dion,dion & the belmonts,,1959,False,True,,,False,True,647225
Don't Pity Me,Dion & The Belmonts,40,12,1958,,dion,dion & the belmonts,,1959,False,True,,,False,True,647225
Don't Pity Me,Dion & The Belmonts,40,12,1958,,the belmonts,dion & the belmonts,,1959,False,True,,,False,True,95042
Don't Pity Me,Dion & The Belmonts,40,12,1958,,the belmonts,dion & the belmonts,,1959,False,True,,,False,True,95042
Don't Pity Me,Dion & The Belmonts,40,12,1958,,the belmonts,dion & the belmonts,,1959,False,True,,,False,True,95042
Don't Pity Me,Dion & The Belmonts,40,12,1958,,the belmonts,dion & the belmonts,,1959,False,True,,,False,True,95042
Come Closer To Me (Acercate Mas),Nat King Cole,41,9,1958,,nat king cole,,Capitol Records,1960,False,True,,,False,True,14410
Mr. Success,Frank Sinatra,41,11,1958,,frank sinatra,,,1966,False,True,"jazz, easy listening","jazz, easy listening",False,True,101
Blue Boy,Jim Reeves,45,6,1958,,jim reeves,,"RCA, RCA Victor, Teal Records",1959,False,True,,,True,False,963187
Non Dimenticar (Don't Forget),Nat King Cole,45,11,1958,,nat king cole,,,1960,False,True,,,False,True,14410
I Wonder Why,Dion & The Belmonts,47,2,1958,,dion,dion & the belmonts,"Classic Records, Laurie Records",1959,False,True,,,False,True,647225
